PersonID,UseMenuCalorieInfo,Fruit,Vegetables,AlcoholConditions_Cancer,AlcoholConditions_HeartDisease,AlcoholConditions_Diabetes,AlcoholConditions_Cholesterol,AlcoholConditions_LiverDisease,AlcoholConditions_Overweight,AlcoholIncreaseCancer,AlcoholReduceHeart
60001393-01,3,3,3,3,3,1,3,1,1,3,2
60001395-01,5,1,0,1,1,1,1,1,2,1,2
60001397-01,2,3,4,1,1,1,3,1,1,2,3
60001401-02,2,4,5,2,1,3,3,1,3,2,3
60001404-01,3,4,4,3,3,1,3,1,1,2,2
60001408-01,5,1,1,3,3,3,3,3,3,1,1
60001409-01,3,3,3,1,3,2,2,1,1,2,3
60001411-01,5,3,2,3,3,3,3,1,3,2,2
60001413-02,3,4,3,1,1,1,1,1,1,2,2
60001414-01,3,3,3,1,1,1,3,1,1,2,3
60001416-01,3,1,1,3,1,1,1,1,1,2,2
60001422-01,2,3,3,2,2,2,2,1,2,4,2
60001425-01,3,2,3,2,1,1,3,1,1,4,1
60001428-01,5,1,2,3,-9,1,-9,1,1,2,2
60001429-01,4,3,2,2,2,1,2,1,1,3,1
60001430-01,3,2,3,1,1,1,2,1,1,2,2
60001432-02,2,4,3,3,1,1,1,1,1,4,3
60001434-01,5,2,2,3,1,1,1,1,1,3,4
60001435-01,3,4,5,1,1,1,3,1,1,2,3
60001437-01,4,2,2,3,3,3,3,1,3,2,2
60001440-02,2,4,4,1,1,1,3,1,1,-9,-9
60001443-01,2,3,3,3,1,3,3,1,1,2,2
60001463-01,4,1,3,3,3,3,3,1,1,3,2
60001466-01,5,3,2,2,3,3,3,1,1,4,2
60001469-01,2,3,3,1,1,1,3,1,3,2,2
60001470-01,5,2,1,3,3,3,3,1,1,4,2
60001472-01,3,2,4,3,1,1,3,1,1,3,3
60001473-01,2,4,3,1,2,2,2,1,2,2,2
60001474-01,4,1,2,3,1,3,3,1,3,2,3
60001476-01,5,2,2,3,3,3,3,3,3,-9,-9
60001477-03,3,4,4,2,1,1,1,1,2,1,2
60001482-01,2,2,2,1,1,1,1,1,1,2,2
60001490-02,2,4,4,1,1,1,1,1,1,2,2
60001495-01,3,1,2,1,1,2,2,1,1,2,2
60001497-02,5,0,1,3,3,3,3,3,3,4,3
60001500-01,4,3,4,3,1,1,1,1,1,3,2
60001507-01,5,4,3,2,1,1,2,1,1,2,2
60001510-01,4,1,1,3,3,3,3,1,3,3,2
60001514-01,3,2,3,3,3,1,2,1,1,3,2
60001515-01,2,1,3,1,1,1,1,1,1,2,2
60001523-02,5,1,1,1,1,1,2,1,2,2,3
60001524-02,4,2,1,2,1,2,2,1,2,4,2
60001525-02,5,3,3,1,3,3,3,1,1,1,2
60001530-01,3,3,3,3,3,3,2,1,1,4,2
60001547-01,3,1,2,2,1,2,2,1,1,3,2
60001548-01,5,2,3,3,1,1,3,1,1,2,3
60001549-01,4,2,2,1,1,3,3,1,1,1,3
60001560-03,3,2,1,2,2,2,2,1,2,4,4
60001562-02,3,3,3,3,1,1,1,1,1,2,2
60001564-01,3,3,4,2,1,1,2,1,2,3,1
60001566-01,1,4,4,3,2,2,2,1,1,4,2
60001567-02,3,0,2,3,1,2,2,1,1,3,3
60001568-01,3,4,3,3,1,1,1,1,1,3,3
60001570-01,3,1,2,3,1,1,3,1,1,3,2
60001573-01,2,5,5,3,1,3,1,1,3,3,3
60001574-01,1,5,3,3,3,3,3,1,1,3,2
60001575-01,5,2,2,1,3,3,3,1,3,1,2
60001577-01,4,2,2,3,3,3,3,3,3,2,3
60001580-03,4,6,4,-9,1,1,2,1,1,3,2
60001584-01,4,3,3,1,2,2,2,1,1,2,3
60001585-01,5,1,3,1,1,2,2,1,1,1,2
60001588-03,2,3,1,3,3,3,3,3,3,3,4
60001589-01,3,2,2,1,1,2,2,1,2,3,4
60001590-01,2,0,5,2,2,2,2,1,1,3,3
60001593-01,4,3,3,1,1,3,1,1,1,2,2
60001603-01,2,2,3,1,1,1,1,1,1,2,1
60001606-02,3,5,3,-9,-9,-9,-9,-9,-9,-9,-9
60001607-01,2,3,3,1,1,1,1,1,3,1,2
60001609-01,5,3,2,1,3,2,1,1,2,1,1
60001610-01,3,3,3,1,1,1,2,1,1,1,2
60001611-01,3,-9,-9,3,1,3,3,1,2,3,3
60001612-01,5,1,2,3,3,3,3,1,3,4,2
60001616-01,3,3,0,2,1,1,3,1,1,3,4
60001620-01,3,3,3,1,1,2,2,1,1,2,4
60001624-01,2,3,2,1,1,3,2,1,2,2,2
60001625-01,3,3,3,1,3,1,2,1,1,2,2
60001627-01,3,3,3,2,2,2,2,1,1,3,3
60001631-01,3,6,4,1,1,1,1,1,1,2,2
60001637-01,1,2,3,2,2,2,2,1,1,4,1
60001640-01,5,5,3,3,-9,1,-9,-9,-9,4,4
60001642-01,3,5,5,3,3,1,3,1,1,2,2
60001644-01,2,2,2,3,3,-9,1,1,1,3,2
60001645-02,5,1,1,2,3,2,3,1,1,4,4
60001652-03,5,0,0,3,3,3,3,1,3,-9,-9
60001665-01,3,0,3,1,1,1,2,1,1,1,1
60001671-03,5,2,2,-9,1,-9,-9,1,-9,3,3
60001680-01,5,3,3,3,1,1,1,1,3,2,3
60001681-03,2,4,2,-9,1,1,1,-9,-9,-9,2
60001682-01,1,0,1,-9,-9,-9,-9,1,-9,4,2
60001683-01,4,2,3,3,1,1,1,1,1,2,2
60001691-01,4,2,3,1,1,1,2,1,1,2,2
60001698-02,5,6,6,3,3,3,3,3,-5,2,2
60001699-01,4,3,1,2,2,2,2,1,2,3,2
60001705-01,2,4,4,2,1,1,1,1,1,3,1
60001709-01,5,2,3,3,3,3,3,1,1,3,1
60001712-02,5,3,3,2,1,1,3,1,1,3,2
60001719-02,5,3,3,3,1,1,1,1,3,2,2
60001721-01,3,3,5,2,2,2,2,1,1,4,4
60001723-01,5,1,1,1,1,1,1,1,1,1,2
60001733-01,3,2,3,2,2,2,2,2,2,2,3
60001735-02,4,1,2,1,1,3,3,1,1,1,4
60001738-02,3,0,1,-9,-9,-9,1,-9,-9,3,4
60001744-01,4,2,1,3,1,2,2,1,3,3,3
60001753-01,4,1,1,3,3,3,3,1,2,3,2
60001754-01,5,3,3,2,3,3,3,1,2,3,2
60001756-01,5,3,1,2,1,1,3,1,1,3,2
60001762-01,4,2,4,3,3,3,3,1,1,3,3
60001770-01,5,3,3,3,1,2,2,1,2,3,3
60001771-03,2,2,3,2,1,1,1,1,1,2,2
60001772-03,2,5,4,1,1,1,2,1,1,2,2
60001776-01,3,2,2,1,1,3,3,1,1,2,2
60001784-01,4,3,1,1,1,1,-9,1,1,1,4
60001786-02,5,4,4,3,3,3,3,1,1,3,2
60001790-01,4,6,4,2,2,2,2,1,1,2,1
60001792-01,4,1,2,1,1,1,1,1,1,1,4
60001801-01,4,0,3,2,1,2,2,1,2,3,1
60001807-01,1,1,2,1,1,1,1,1,1,1,4
60001813-01,3,1,2,2,1,2,1,1,1,3,3
60001816-01,2,2,2,2,2,2,2,1,1,4,2
60001818-02,5,1,1,1,1,1,1,1,1,2,2
60001819-03,2,0,2,3,3,1,3,1,3,3,2
60001830-01,2,3,3,2,1,1,3,1,2,3,2
60001832-01,5,3,1,3,3,3,3,1,3,4,4
60001843-01,4,1,2,1,1,1,1,1,1,2,2
60001845-01,5,3,3,-9,-9,1,-9,1,-9,3,2
60001846-01,3,1,1,-9,-9,-9,-9,1,1,3,3
60001849-02,5,0,4,3,3,3,3,3,1,3,3
60001850-01,2,1,1,2,1,1,1,1,1,3,1
60001851-02,2,3,2,2,1,2,2,1,2,4,1
60001854-01,5,1,1,2,2,1,1,2,1,2,2
60001859-01,5,2,2,3,3,3,3,3,3,2,2
60001865-01,3,1,1,3,3,1,3,1,1,-9,-9
60001869-01,5,3,4,1,1,3,3,1,1,1,1
60001871-02,4,4,4,3,1,3,3,1,1,1,2
60001872-01,5,3,3,2,3,2,3,1,1,3,3
60001873-03,5,0,0,1,-9,-9,-9,1,-9,2,2
60001876-01,3,4,4,1,1,1,1,1,1,2,4
60001877-01,3,2,2,1,1,1,2,1,1,2,3
60001879-01,3,3,4,3,3,3,3,3,3,-9,-9
60001883-01,4,1,2,2,2,2,2,1,1,4,2
60001886-01,4,2,3,3,1,1,1,1,1,3,2
60001891-01,4,3,2,3,2,3,3,1,1,3,2
60001894-01,5,2,2,2,1,1,1,1,1,2,3
60001895-03,5,2,3,3,2,1,3,1,1,2,3
60001899-01,4,2,2,1,1,1,3,1,1,2,2
60001905-01,5,0,2,3,1,1,1,1,1,2,2
60001907-01,5,-5,3,1,1,1,3,1,1,2,2
60001913-01,1,3,4,1,1,3,2,1,1,2,1
60001914-02,3,3,3,1,1,1,1,1,1,1,2
60001916-03,5,2,3,1,1,2,3,2,1,1,4
60001918-01,2,2,3,3,2,1,2,1,2,2,3
60001921-02,5,1,2,1,1,1,1,1,1,2,4
60001930-01,3,2,2,1,1,1,1,1,1,1,1
60001933-01,3,2,2,2,1,2,1,1,1,4,2
60001934-02,3,3,2,3,1,1,3,1,1,3,2
60001935-01,3,4,3,2,1,1,1,1,1,3,3
60001938-02,1,2,3,2,1,1,2,1,3,2,1
60001944-01,2,2,3,2,1,1,3,1,1,3,2
60001945-02,4,4,3,1,1,1,3,1,1,2,2
60001946-02,4,3,5,3,3,3,3,3,3,1,1
60001947-01,2,3,3,2,1,1,1,1,1,3,3
60001949-02,2,2,2,3,3,3,3,3,3,3,2
60001950-01,5,0,1,2,2,2,1,2,1,4,2
60001954-02,5,2,3,3,3,3,3,1,3,4,4
60001959-01,2,1,2,3,1,1,3,1,1,4,2
60001960-01,3,2,3,1,-9,1,-9,1,1,2,2
60001962-01,5,0,3,1,1,1,1,1,3,4,4
60001963-01,5,1,2,3,3,3,3,1,1,2,2
60001966-01,1,3,3,1,1,1,1,1,-9,2,2
60001967-02,3,4,4,3,1,1,1,1,1,2,2
60001970-01,4,3,3,3,3,3,3,3,3,2,2
60001974-01,5,3,4,2,2,2,1,1,1,4,1
60001976-01,3,4,3,1,1,1,2,1,1,3,2
60001979-02,5,1,2,2,2,1,1,1,1,4,4
60001981-03,5,3,3,3,3,3,3,3,3,3,1
60001983-01,3,4,3,1,1,1,1,1,1,1,3
60001988-01,2,1,3,2,1,1,3,1,1,3,2
60001992-01,5,3,3,1,1,1,2,1,1,3,2
60001998-01,3,4,3,3,1,1,1,1,1,2,2
60001999-01,3,3,4,1,1,1,1,1,1,2,2
60002001-01,4,3,3,2,1,2,2,1,1,3,2
60002008-03,4,2,2,1,1,3,3,1,3,2,1
60002009-01,2,3,4,1,1,1,1,1,1,2,2
60002017-01,4,1,6,1,1,1,2,1,1,1,3
60002023-02,3,2,2,2,1,1,1,1,1,3,2
60002025-02,2,4,3,-9,-9,-9,-9,1,-9,4,1
60002030-01,4,3,3,3,3,3,3,1,1,2,-9
60002033-02,2,0,4,1,3,3,3,1,2,1,2
60002040-02,2,3,4,1,3,3,3,1,1,1,2
60002041-02,5,3,2,2,3,1,2,1,2,3,2
60002044-01,2,4,4,3,1,1,3,1,1,3,2
60002045-02,3,1,3,1,1,1,3,1,1,2,2
60002047-02,5,3,3,3,1,1,-9,1,1,3,2
60002052-02,2,3,3,1,3,1,2,1,1,2,2
60002060-01,4,4,4,1,1,1,-9,1,1,3,3
60002068-01,5,2,4,3,1,1,1,1,1,3,2
60002070-02,5,0,2,3,1,1,3,1,3,3,2
60002071-01,3,3,3,3,3,1,3,1,1,3,1
60002081-01,3,4,4,-9,1,1,1,-9,-9,-9,4
60002082-01,5,2,3,3,3,3,3,1,1,2,3
60002087-01,2,4,5,3,1,1,1,1,1,3,2
60002088-01,2,3,4,3,1,1,3,1,1,2,2
60002090-01,2,3,3,3,1,1,3,1,1,3,3
60002091-02,4,4,4,2,2,2,2,2,1,3,2
60002092-01,2,3,5,3,1,1,3,1,1,2,2
60002094-02,3,0,3,-9,-9,-9,-9,-9,-9,-9,-9
60002097-02,2,2,3,3,3,1,1,1,1,3,2
60002104-02,3,3,5,2,1,2,2,1,1,4,2
60002106-01,5,3,3,2,1,1,1,1,1,3,3
60002107-01,2,2,4,1,1,1,1,1,1,2,3
60002116-01,3,3,2,3,1,1,1,1,2,1,4
60002121-02,5,6,6,3,3,3,3,3,3,2,2
60002127-02,4,3,3,-9,-9,-9,-9,1,-9,2,3
60002129-02,3,2,3,3,3,3,1,1,1,3,2
60002132-01,1,6,6,2,1,1,2,1,1,3,2
60002140-02,3,1,1,1,1,1,3,1,1,1,2
60002142-01,3,2,3,1,1,1,1,1,1,2,1
60002148-01,4,4,1,1,1,1,1,1,1,2,-9
60002150-01,5,2,3,2,1,3,3,1,1,3,3
60002153-01,3,3,4,2,2,3,-9,1,1,3,2
60002157-02,1,2,2,3,3,3,3,1,1,-9,2
60002168-01,5,4,4,1,3,1,3,1,1,2,2
60002174-01,4,2,2,2,1,2,2,1,1,3,3
60002183-01,4,2,1,2,1,1,1,1,1,2,4
60002184-01,3,4,3,1,1,3,3,1,1,2,3
60002185-01,4,2,1,2,1,1,2,1,1,4,1
60002198-02,5,6,4,3,3,3,3,1,3,2,2
60002201-03,3,1,1,1,1,1,1,1,1,2,3
60002205-01,4,1,1,1,1,1,1,1,1,2,2
60002208-01,1,3,5,1,1,3,3,1,3,1,4
60002213-02,4,1,3,2,1,1,1,1,1,3,1
60002216-01,5,5,4,1,1,3,3,1,1,1,2
60002218-01,4,1,3,3,1,3,3,1,3,2,2
60002220-01,2,1,3,1,1,1,3,1,1,3,2
60002221-01,3,4,3,1,1,1,3,1,1,-9,-9
60002230-02,2,2,2,3,3,3,3,1,1,-9,2
60002236-01,5,0,1,3,3,3,3,1,3,2,2
60002237-01,2,2,3,3,3,1,1,-9,1,2,3
60002238-01,3,4,6,3,3,3,2,1,1,2,2
60002242-01,3,2,2,1,-9,1,-9,1,1,1,2
60002243-01,4,5,4,1,1,3,3,1,1,2,2
60002247-03,5,2,2,1,1,1,1,1,1,1,3
60002249-02,4,1,1,1,1,-9,-9,1,-9,1,4
60002258-01,4,1,1,1,1,1,1,1,1,1,2
60002267-02,5,1,1,2,1,2,2,1,1,3,3
60002270-01,3,2,3,1,1,1,3,1,1,1,4
60002271-01,5,3,3,1,1,1,3,1,1,1,3
60002276-02,5,1,2,1,1,1,1,1,1,2,2
60002277-01,1,4,4,1,1,1,2,1,1,2,4
60002281-01,4,0,0,3,3,3,3,3,3,2,2
60002286-01,5,6,3,3,3,3,3,3,3,4,4
60002287-01,4,3,3,1,3,3,3,1,1,2,3
60002288-01,5,2,2,-9,-9,-9,-9,1,-9,4,2
60002293-01,2,2,2,1,1,1,1,1,1,1,2
60002297-02,5,3,4,2,2,1,2,1,1,3,1
60002307-01,3,3,4,1,1,2,2,1,1,2,3
60002308-01,2,3,4,2,2,2,2,1,1,2,2
60002315-01,5,4,4,1,1,1,1,1,1,2,2
60002317-03,1,1,6,1,3,1,3,1,1,1,3
60002318-01,5,5,3,3,3,1,1,1,1,3,2
60002319-01,5,2,4,2,3,3,3,1,3,3,2
60002320-01,3,0,3,-9,-9,-9,-9,1,1,2,2
60002327-01,4,4,6,1,1,1,1,1,1,1,2
60002330-01,3,3,2,1,1,3,3,1,1,2,2
60002332-01,2,5,5,3,3,1,3,1,1,3,3
60002337-03,5,3,3,-9,-9,-9,-9,-9,-9,-9,-9
60002342-01,1,2,0,3,1,2,2,1,2,1,1
60002352-01,2,3,3,1,3,1,3,1,3,1,3
60002355-02,4,2,2,2,2,1,1,1,1,3,2
60002358-01,3,4,3,-9,-9,-9,-9,1,-9,1,4
60002361-01,2,1,2,1,1,1,1,1,1,2,2
60002362-01,5,6,5,3,1,3,3,1,1,2,2
60002366-02,4,2,2,3,1,1,3,3,1,2,4
60002367-01,2,4,4,1,1,1,1,1,1,1,2
60002373-02,1,3,4,3,1,3,3,1,1,3,4
60002377-01,2,2,3,1,1,1,1,1,1,2,2
60002380-01,4,2,3,2,2,1,3,1,1,4,2
60002381-01,4,1,2,2,3,1,3,1,1,4,2
60002383-01,2,2,2,1,1,1,1,1,1,2,3
60002386-01,2,4,3,1,1,1,3,1,1,1,3
60002392-01,4,5,5,2,2,1,2,1,1,4,1
60002395-01,3,2,2,1,1,1,1,1,-5,2,2
60002398-01,5,2,1,3,3,3,3,1,3,3,3
60002400-02,2,3,2,1,1,1,1,1,1,1,1
60002402-01,2,1,1,2,1,1,1,1,1,3,2
60002405-02,5,2,3,2,3,3,3,1,3,4,3
60002406-01,4,4,3,1,1,2,2,1,1,2,3
60002408-03,2,2,3,3,3,3,3,1,1,3,1
60002410-01,4,1,3,3,3,3,3,3,3,4,4
60002417-01,3,1,1,2,1,1,1,1,1,3,2
60002420-01,3,3,3,3,1,3,3,1,1,2,2
60002421-01,5,3,3,3,1,3,2,1,1,2,2
60002424-01,5,2,0,2,3,3,3,1,1,3,2
60002426-01,4,0,2,2,2,2,2,1,1,4,4
60002427-02,5,6,6,1,-9,1,2,1,1,3,1
60002429-01,3,3,3,1,1,3,1,1,1,2,-9
60002430-02,3,2,4,1,1,1,1,1,1,1,3
60002434-01,4,3,4,3,1,1,3,1,1,3,2
60002435-01,1,1,2,3,1,3,1,1,1,3,1
60002436-01,3,3,1,3,3,3,3,3,-9,4,4
60002437-01,4,2,1,1,3,1,1,1,3,1,2
60002439-01,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
60002444-01,4,3,2,2,1,1,1,1,1,3,2
60002445-01,4,2,2,3,3,3,3,1,1,2,4
60002448-01,2,6,5,1,1,1,1,1,1,1,2
60002449-01,3,3,2,1,1,1,1,1,1,1,2
60002450-01,3,3,3,-5,1,1,1,1,1,3,1
60002453-02,3,3,4,2,2,2,2,1,1,4,2
60002456-03,3,2,2,2,2,2,2,2,1,4,3
60002458-01,5,1,1,-9,-9,-9,1,1,1,3,3
60002459-02,2,3,3,2,1,2,2,1,1,4,1
60002463-01,2,3,2,1,1,1,3,1,1,2,2
60002464-02,5,1,1,1,3,3,3,1,1,-9,-9
60002465-01,4,5,4,1,1,1,2,1,1,2,2
60002468-01,5,2,2,2,2,2,2,2,2,4,4
60002470-01,2,1,2,1,1,1,1,1,1,2,3
60002476-03,5,2,1,1,1,1,1,1,1,2,3
60002478-01,4,3,2,2,2,3,3,1,1,4,2
60002483-02,2,1,1,2,2,2,2,2,2,3,3
60002484-02,5,0,0,3,3,3,3,1,1,3,3
60002485-02,4,0,3,1,3,1,3,1,1,1,1
60002487-01,1,1,3,2,2,1,2,1,1,4,2
60002488-01,3,2,2,2,1,1,1,1,1,3,2
60002489-01,4,1,1,3,1,1,1,1,1,3,3
60002490-03,4,3,3,1,1,1,1,1,1,3,2
60002495-01,2,2,2,1,1,1,1,1,1,1,2
60002501-01,3,2,4,3,1,1,2,1,1,3,2
60002511-01,3,2,1,3,2,3,1,1,1,2,1
60002512-01,4,2,1,3,3,1,3,1,1,2,2
60002517-01,2,1,3,3,1,3,1,1,1,3,2
60002518-01,4,0,2,3,1,1,1,1,1,2,3
60002522-01,3,4,5,3,3,3,3,1,3,3,2
60002523-02,5,2,2,2,1,1,2,1,1,3,1
60002525-01,5,1,3,1,1,1,1,1,1,1,4
60002533-01,3,2,3,3,1,1,2,1,1,3,2
60002534-01,3,2,2,1,3,3,3,1,1,2,2
60002535-01,5,1,2,1,1,1,1,1,1,2,3
60002540-01,2,1,2,2,2,2,2,1,1,4,2
60002546-03,4,2,5,3,3,3,3,3,3,-9,-9
60002548-02,1,2,5,3,1,1,3,1,1,3,4
60002551-01,1,4,3,3,1,1,2,1,1,3,1
60002552-01,3,2,4,1,1,1,1,1,2,1,1
60002555-01,2,3,3,1,1,1,1,1,1,2,3
60002558-03,5,2,1,1,1,1,1,1,1,2,2
60002563-01,2,3,2,3,3,1,3,1,1,2,1
60002581-01,3,3,3,1,1,1,1,1,1,2,2
60002583-02,3,1,3,3,1,1,3,1,1,2,2
60002584-01,3,0,4,3,3,3,3,1,3,3,2
60002585-01,5,0,1,1,1,1,1,1,1,2,4
60002586-01,4,2,2,3,2,2,2,1,1,4,2
60002587-01,3,3,3,1,1,1,2,1,2,1,4
60002589-01,5,1,2,2,1,1,2,1,1,4,2
60002590-02,4,3,3,1,1,1,1,1,1,1,3
60002595-01,2,3,4,3,1,1,1,1,1,2,2
60002597-01,5,2,2,1,1,1,1,1,1,1,4
60002598-01,3,3,4,1,1,1,1,1,1,1,3
60002603-01,5,2,3,2,1,3,3,1,1,4,4
60002605-01,2,2,3,1,1,1,1,1,1,1,2
60002607-01,5,2,3,2,2,2,1,1,1,3,2
60002608-01,3,2,4,2,1,2,1,1,1,3,2
60002621-03,5,1,0,2,2,3,2,1,1,4,4
60002622-01,4,1,1,1,1,1,1,1,1,1,2
60002624-02,3,3,3,1,1,1,1,1,1,1,2
60002625-01,5,2,3,1,1,1,1,1,1,1,4
60002629-03,5,0,1,2,1,2,2,1,2,3,2
60002631-03,3,5,5,1,1,1,1,1,1,2,1
60002637-01,2,4,4,3,3,1,3,1,1,3,2
60002638-01,5,3,3,1,3,3,3,1,3,4,2
60002642-01,5,0,1,1,1,1,1,1,1,3,2
60002647-01,3,1,1,2,2,2,-9,1,1,2,2
60002660-01,5,3,0,1,1,2,2,1,2,2,2
60002665-02,2,2,3,1,1,1,1,1,1,1,2
60002670-01,5,2,4,2,1,-9,2,1,2,3,2
60002671-02,2,1,1,-9,1,1,1,1,1,3,2
60002674-01,5,2,3,1,1,1,1,1,1,2,2
60002675-02,5,3,3,3,3,3,3,1,1,2,2
60002679-01,3,1,1,1,1,-9,-9,1,1,3,2
60002684-02,2,2,3,3,3,3,3,1,1,2,4
60002685-01,2,1,0,3,3,1,1,3,1,2,1
60002686-01,3,1,2,1,1,2,2,1,1,2,2
60002687-01,4,3,4,3,1,1,3,1,1,3,2
60002691-01,2,3,5,1,1,1,3,1,1,1,2
60002693-02,1,6,6,1,1,1,1,1,1,1,2
60002698-01,3,4,3,1,1,1,-9,1,1,2,2
60002700-01,2,2,4,3,1,1,3,1,1,2,2
60002707-01,4,2,3,3,3,3,3,1,3,3,2
60002718-02,4,3,3,1,1,1,3,1,1,1,1
60002727-01,4,3,3,3,3,3,3,3,1,2,2
60002730-01,4,3,2,3,2,-5,3,1,3,3,2
60002743-02,5,1,2,3,1,1,1,1,1,3,2
60002752-02,3,0,3,1,1,1,1,1,1,2,2
60002753-02,2,1,2,1,1,1,1,1,1,2,2
60002757-01,3,3,1,1,1,1,1,1,1,2,2
60002763-03,2,3,4,1,1,3,3,1,2,2,2
60002764-03,5,1,1,1,1,1,1,1,1,1,4
60002769-01,1,2,2,1,1,1,1,1,1,1,2
60002774-01,3,0,2,2,2,2,2,1,1,2,2
60002777-01,3,3,3,1,1,1,3,1,1,3,3
60002783-01,2,1,3,1,1,1,1,1,1,1,3
60002784-02,5,0,1,3,3,3,3,1,3,4,4
60002785-01,1,3,2,1,1,1,1,1,1,1,3
60002787-01,2,1,3,1,1,1,1,1,1,1,2
60002793-01,3,1,2,-9,1,1,1,1,-9,2,3
60002794-01,3,3,3,1,1,1,1,1,1,2,2
60002795-02,5,1,0,3,3,3,3,3,3,4,4
60002797-01,5,3,4,2,1,1,1,1,1,3,1
60002799-03,1,3,3,2,1,1,1,2,2,1,1
60002800-01,3,2,3,1,1,1,1,1,1,2,2
60002804-01,4,1,2,2,2,1,1,1,1,4,4
60002809-02,5,4,3,-9,1,-9,-9,1,1,1,2
60002810-03,5,0,2,3,1,1,3,1,1,2,3
60002813-02,4,1,0,1,1,3,3,1,1,2,2
60002815-01,5,1,1,-9,1,-9,-9,1,1,2,3
60002823-01,5,3,2,2,2,1,1,1,1,2,2
60002824-01,1,4,5,1,1,1,1,1,1,1,3
60002829-01,4,2,3,3,3,3,3,1,1,2,3
60002834-01,3,2,2,1,1,1,1,1,1,2,1
60002839-02,4,0,1,1,2,2,2,1,1,1,2
60002844-01,3,3,4,2,2,2,2,1,1,3,3
60002848-01,5,0,1,2,1,2,2,1,2,3,1
60002852-03,4,3,3,3,3,3,3,1,1,3,2
60002853-01,2,6,6,1,1,1,1,1,2,3,1
60002858-01,5,2,4,3,1,1,3,1,1,2,3
60002860-01,3,2,2,3,3,3,3,1,3,2,2
60002862-01,3,-5,2,3,3,1,3,1,1,-9,-9
60002863-01,4,1,2,1,1,1,1,1,1,1,1
60002865-01,2,-5,2,1,1,3,3,1,1,1,3
60002866-01,1,3,6,1,1,1,2,1,1,1,2
60002872-01,2,1,3,2,3,1,3,1,2,4,4
60002873-01,3,4,2,3,1,-5,3,1,1,2,4
60002876-03,4,1,1,3,3,3,3,1,1,2,2
60002883-01,4,0,3,1,1,1,1,1,1,1,1
60002888-01,5,1,3,1,1,2,1,1,1,3,2
60002889-01,3,1,2,1,1,3,3,1,1,2,2
60002893-01,4,3,4,2,2,2,2,1,1,3,1
60002897-01,1,2,3,1,1,1,1,1,1,1,3
60002898-01,5,2,0,2,2,3,2,1,1,4,2
60002901-02,5,3,1,2,3,2,-5,1,1,2,2
60002903-01,4,2,3,1,2,3,3,1,1,3,2
60002905-01,3,2,3,1,1,1,1,1,1,2,2
60002906-01,3,0,1,1,1,1,1,1,3,2,2
60002911-03,4,3,3,1,1,1,1,1,1,1,4
60002914-01,3,2,1,2,2,2,2,1,1,4,4
60002917-02,2,3,3,3,1,1,1,1,1,3,2
60002918-01,4,6,5,1,3,3,1,1,1,1,3
60002919-01,5,3,3,3,3,1,3,1,1,2,2
60002923-01,1,1,2,1,1,1,1,1,1,1,4
60002926-01,3,3,3,3,1,1,3,1,1,1,2
60002932-01,5,2,1,2,3,3,3,1,3,3,3
60002933-03,3,3,3,1,1,1,3,1,1,2,2
60002935-01,5,3,1,3,1,1,3,1,1,2,4
60002936-02,3,4,6,2,1,1,3,1,1,3,3
60002937-01,3,4,3,1,2,1,2,1,1,1,1
60002938-01,5,0,2,3,3,3,3,1,1,2,2
60002939-01,1,2,5,3,1,3,3,1,1,2,2
60002940-01,4,2,3,1,3,3,3,1,1,2,2
60002941-01,3,3,3,3,3,3,3,1,1,3,2
60002942-02,1,3,4,2,1,2,2,1,1,3,2
60002954-02,2,0,3,1,1,1,1,1,1,2,3
60002956-02,4,2,3,-9,-9,-9,-9,1,-9,1,2
60002959-01,2,4,4,3,3,3,3,1,1,2,2
60002960-01,3,2,3,3,3,3,3,1,3,4,2
60002962-01,3,1,0,2,1,2,2,1,1,2,2
60002973-01,4,3,2,3,3,3,3,1,1,2,3
60002979-01,5,1,1,2,1,1,2,1,1,3,2
60002985-01,4,1,3,3,1,1,3,1,1,2,3
60002990-01,2,4,4,2,2,1,2,1,1,4,2
60002996-01,4,0,1,2,3,3,3,1,1,3,2
60002999-01,3,2,3,1,1,-9,-9,1,1,1,2
60003000-01,2,3,4,1,1,1,1,1,1,2,2
60003003-01,3,3,5,3,3,1,3,1,3,-9,-9
60003005-01,4,2,2,2,2,2,3,1,1,2,4
60003015-01,2,0,1,-9,-9,-9,-9,1,-9,2,4
60003017-02,3,2,3,2,1,2,2,1,1,3,2
60003021-01,5,0,2,2,3,3,3,1,2,4,2
60003023-02,5,3,0,3,3,1,1,1,1,2,3
60003025-01,3,3,3,3,3,3,3,1,1,2,2
60003029-01,3,2,2,3,3,2,3,1,1,3,2
60003041-02,3,2,2,3,3,1,1,1,1,3,3
60003043-01,3,3,2,1,1,3,3,1,1,2,2
60003046-02,5,0,1,1,1,1,1,1,1,1,4
60003051-01,4,1,1,3,3,3,3,1,1,2,2
60003052-01,4,1,1,3,3,3,3,1,3,2,3
60003061-01,3,2,2,1,3,3,3,1,1,1,3
60003064-01,5,1,4,3,1,1,3,1,3,3,2
60003065-01,4,5,5,2,2,1,1,1,2,1,1
60003069-01,4,2,3,1,1,1,1,1,1,2,4
60003071-02,2,2,3,3,1,-5,3,3,3,3,4
