PersonID,Caregiving_Child,Caregiving_Spouse,Caregiving_Parent,Caregiving_Family,Caregiving_Friend,Caregiving_No,CaregivingWho_Cat,Caregiving_Cancer,Caregiving_Alzheimers,Caregiving_OrthoMusc,Caregiving_MentalHealth,Caregiving_ChronicCond,Caregiving_NeuroDev,Caregiving_AcuteCond,Caregiving_Aging,Caregiving_NotSure,Caregiving_Other,Caregiving_Other_OS,CaregivingCond_Cat,Caregiving_HoursPerWeek
60002495-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002501-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002511-01,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,-1,6,5
60002512-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002517-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002518-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002522-01,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,-1,9,1
60002523-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002525-01,1,1,2,2,2,2,7,2,2,1,1,2,2,2,2,2,2,-1,10,1
60002533-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002534-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002535-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002540-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002546-03,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002548-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002551-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002552-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002555-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002558-03,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002563-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002581-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002583-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002584-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002585-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002586-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002587-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002589-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002590-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002595-01,1,2,2,2,2,2,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-6,-9,1
60002597-01,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,-1,2,5
60002598-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002603-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002605-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002607-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002608-01,2,2,1,2,2,2,3,2,2,1,2,1,1,2,1,2,2,-1,10,2
60002621-03,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002622-01,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,-1,4,1
60002624-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002625-01,2,2,1,2,2,2,3,2,2,2,2,1,2,1,2,2,2,-1,10,1
60002629-03,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002631-03,1,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,2,-1,10,-9
60002637-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002638-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002642-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002647-01,2,2,1,2,2,2,3,2,1,1,2,2,2,1,1,2,2,-1,10,2
60002660-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002665-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002670-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002671-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002674-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002675-02,-9,-9,-9,-9,-9,-9,-9,1,2,2,2,2,2,2,1,-6,2,-1,10,-6
60002679-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002684-02,1,1,2,2,2,2,7,2,2,1,1,2,2,2,2,2,1,SPEECH DELAY,10,5
60002685-01,2,2,2,2,2,1,6,-2,-1,-1,-1,-2,-1,-2,-1,-1,-1,-1,-2,-2
60002686-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002687-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002691-01,2,2,1,2,2,2,3,1,2,2,2,2,2,2,1,2,2,-1,10,1
60002693-02,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,-1,9,1
60002698-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002700-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002707-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002718-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002727-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002730-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002743-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002752-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002753-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002757-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002763-03,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002764-03,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002769-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002774-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002777-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002783-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002784-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002785-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002787-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002793-01,1,1,2,2,2,2,7,2,2,2,1,2,1,2,2,2,2,-1,10,2
60002794-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002795-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002797-01,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,-1,10,5
60002799-03,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,-1,5,1
60002800-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002804-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002809-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002810-03,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002813-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002815-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002823-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002824-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002829-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002834-01,2,2,2,1,2,2,4,2,2,2,1,1,2,2,2,2,2,-1,10,1
60002839-02,2,2,2,2,2,1,6,-1,-1,-2,-2,-2,-1,-1,-2,-1,-1,-1,-2,-1
60002844-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002848-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002852-03,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002853-01,2,2,1,2,2,2,3,2,2,2,2,2,2,2,1,2,2,-1,8,2
60002858-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002860-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002862-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002863-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002865-01,2,2,1,2,2,2,3,2,2,1,1,1,2,2,2,2,1,MULTIPLE SCLEROSIS,10,5
60002866-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002872-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002873-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-1
60002876-03,2,2,1,2,2,2,3,2,2,2,2,2,2,2,1,2,2,-1,8,1
60002883-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002888-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002889-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002893-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002897-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002898-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002901-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002903-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002905-01,2,2,2,1,2,2,4,2,1,2,2,2,2,2,2,2,2,-1,2,3
60002906-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002911-03,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002914-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002917-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002918-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002919-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002923-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002926-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002932-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002933-03,2,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,2,-1,10,1
60002935-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002936-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002937-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002938-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002939-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002940-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002941-01,2,2,1,2,2,2,3,2,1,1,2,2,2,2,1,2,2,-1,10,2
60002942-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002954-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002956-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002959-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002960-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002962-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002973-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002979-01,2,2,1,2,2,2,3,1,1,1,2,1,2,2,2,2,2,-1,10,1
60002985-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002990-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002996-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60002999-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003000-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003003-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003005-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003015-01,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,-1,9,2
60003017-02,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,-1,7,1
60003021-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003023-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003025-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003029-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003041-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003043-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003046-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003051-01,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,NON ALCOHOLIC CIRRHOSIS OF THE LIVER,10,3
60003052-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003061-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003064-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003065-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003069-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003071-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003074-02,2,2,2,1,2,2,4,1,1,1,1,1,1,1,1,1,2,-1,10,5
60003079-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003080-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003082-01,2,2,1,2,2,2,3,2,2,2,2,2,2,2,1,2,2,-1,8,1
60003083-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003084-01,2,2,1,2,2,2,3,2,1,2,2,2,2,2,2,2,2,-1,2,2
60003085-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003091-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003094-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003095-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003097-01,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,MULTIPLE SCLEROSIS,91,1
60003098-02,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,-1,10,1
60003099-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003100-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003101-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003103-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003104-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003105-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003106-01,2,2,1,2,2,2,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-6,-9,-9
60003111-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003113-03,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003114-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003116-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003127-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003133-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003135-01,2,2,1,2,2,2,3,1,2,2,2,2,2,2,2,2,2,-1,1,1
60003136-03,1,1,1,2,2,2,7,2,2,2,2,2,2,2,1,2,2,-1,8,1
60003147-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003151-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003152-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003155-01,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,-1,2,5
60003161-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003165-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003168-01,2,2,2,1,2,2,4,2,2,2,2,2,2,2,2,1,2,-1,9,1
60003173-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003178-01,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,-1,6,5
60003184-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003191-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003195-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003198-03,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003203-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003208-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003213-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003214-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003216-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003224-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003229-02,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,-1,4,5
60003237-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003240-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003241-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003242-01,-9,-9,-9,-9,-9,-9,-9,-6,-6,-6,-6,-6,-6,-6,-6,1,-6,-6,9,1
60003244-01,1,2,2,2,2,2,1,2,1,1,2,1,1,1,2,2,2,-1,10,5
60003245-02,-9,-9,-9,-9,-9,-9,-9,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1
60003254-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003255-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003256-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003261-01,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,-1,10,3
60003269-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003272-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003275-02,2,2,2,1,2,2,4,2,1,1,2,2,2,2,1,2,2,-1,10,5
60003282-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003287-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003288-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003294-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003300-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003301-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-2,-2
60003303-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003313-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003314-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003324-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003329-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003331-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003332-02,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,ADHD,10,1
60003333-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003334-01,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,-1,6,5
60003336-03,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,-1,9,5
60003348-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60003350-01,-9,-9,-9,-9,-9,-9,-9,1,2,2,2,2,2,2,2,-6,2,-1,1,5
