PersonID,SeekHealthInfo,WhereSeekHealthInfo,WhoLookingFor,LotOfEffort,Frustrated,ConcernedQuality,TooHardUnderstand,ConfidentGetHealthInf,TrustDoctor,TrustFamily,TrustNewsMag,TrustRadio,TrustInternet,TrustTelevision,TrustGov,TrustCharities,TrustReligiousOrgs,StrongNeedHealthInfo,StrongNeedHealthInfo_OS,SeekCancerInfo,InternetCancerInfoSelf
60002608-01,1,7,3,4,4,3,4,2,1,1,3,3,1,2,1,2,4,7,-1,1,2
60002621-03,1,7,1,3,4,3,4,2,2,2,4,2,2,2,4,2,2,7,-1,1,1
60002622-01,1,7,1,2,2,1,2,4,1,2,2,3,2,3,2,4,4,7,-1,1,1
60002624-02,1,6,2,2,2,3,3,3,1,2,2,2,2,2,2,2,2,6,-1,1,2
60002625-01,1,1,1,2,2,4,3,2,1,3,4,4,2,4,2,3,4,6,-1,1,2
60002629-03,2,-1,-1,-1,-1,-1,-1,2,1,3,3,3,3,3,2,3,4,6,-1,2,2
60002631-03,1,-5,1,4,2,2,2,3,1,2,3,3,2,3,3,3,4,6,-1,1,1
60002637-01,1,7,1,2,3,2,3,2,1,2,2,2,2,2,2,2,4,6,-1,2,2
60002638-01,1,7,3,3,1,2,3,3,1,3,3,3,2,4,2,3,4,6,-1,1,2
60002642-01,1,6,1,4,4,2,4,2,1,3,2,3,2,3,2,2,3,6,-1,1,1
60002647-01,2,-1,-1,-1,-1,-1,-1,2,1,2,3,2,2,3,2,2,2,6,-1,1,2
60002660-01,1,6,2,3,3,2,3,3,3,3,4,4,3,3,2,-9,2,6,-1,2,2
60002665-02,1,7,2,3,3,3,3,2,1,2,3,3,2,3,1,2,4,7,-1,1,2
60002670-01,2,-1,-1,-1,-1,-1,-1,1,1,3,3,3,3,3,2,2,2,6,-1,1,2
60002671-02,1,7,1,3,2,2,3,3,1,2,2,3,2,3,1,2,4,7,-1,1,2
60002674-01,1,7,1,3,3,2,3,3,2,2,4,3,2,4,3,3,4,7,-1,2,2
60002675-02,-9,-6,-6,-6,-6,-6,-6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,8,-1,2,2
60002679-01,2,-1,-1,-1,-1,-1,-1,1,1,3,3,3,-9,3,2,3,3,6,-1,2,2
60002684-02,2,-1,-1,-1,-1,-1,-1,4,2,3,4,4,4,4,2,1,4,6,-1,2,2
60002685-01,2,-1,-1,-1,-1,-1,-1,3,-9,-9,-9,-9,-9,-9,4,-9,-9,6,-1,1,2
60002686-01,1,1,3,2,2,2,2,2,1,2,3,3,3,3,2,2,2,6,-1,1,2
60002687-01,1,7,1,2,2,2,2,3,1,2,3,3,2,3,2,3,3,6,-1,1,1
60002691-01,1,7,2,4,4,4,4,1,1,2,2,2,1,2,1,1,4,7,-1,1,2
60002693-02,1,7,3,2,3,2,3,2,2,3,3,3,2,3,3,4,3,7,-1,2,2
60002698-01,1,-5,2,4,4,4,4,1,1,3,2,3,2,2,1,2,3,7,-1,1,2
60002700-01,2,-1,-1,-1,-1,-1,-1,3,1,1,3,3,4,3,1,3,2,6,-1,2,2
60002707-01,1,7,3,2,2,3,2,3,1,3,2,3,2,3,1,3,3,7,-1,1,2
60002718-02,1,4,1,4,4,4,4,2,1,1,3,4,3,4,3,2,4,6,-1,1,2
60002727-01,1,6,2,3,3,3,3,2,1,2,3,3,3,4,3,3,2,6,-1,2,2
60002730-01,2,-1,-1,-1,-1,-1,-1,1,1,2,4,3,2,4,2,2,2,7,-1,2,2
60002743-02,2,-1,-1,-1,-1,-1,-1,3,2,2,3,3,3,3,4,4,3,6,-1,2,2
60002752-02,2,-1,-1,-1,-1,-1,-1,3,1,3,4,4,3,4,3,4,4,7,-1,1,2
60002753-02,1,7,3,1,4,2,4,2,1,3,3,3,2,3,3,3,3,7,-1,1,2
60002757-01,1,7,1,4,4,3,3,2,1,2,2,3,2,2,2,3,3,7,-1,1,2
60002763-03,1,6,2,4,4,4,4,2,1,1,3,3,3,3,3,3,2,6,-1,2,2
60002764-03,1,7,3,2,2,2,2,3,2,2,2,2,2,3,4,2,2,7,-1,1,2
60002769-01,1,7,3,2,2,1,2,3,1,3,2,-9,2,2,2,2,2,7,-1,1,1
60002774-01,1,7,1,3,4,1,4,2,1,3,3,4,2,3,2,3,3,7,-1,1,1
60002777-01,1,2,1,4,4,4,4,1,1,2,3,3,-9,4,2,3,3,6,-1,2,2
60002783-01,1,-5,1,1,1,1,2,3,2,2,4,4,2,4,2,3,4,7,-1,1,2
60002784-02,1,12,2,1,1,1,1,5,4,2,2,2,1,1,4,4,3,12,-1,2,2
60002785-01,1,7,1,3,2,3,3,2,1,3,3,3,2,3,4,3,3,7,-1,1,1
60002787-01,1,7,2,2,1,2,4,3,2,3,3,3,2,3,2,4,4,7,-1,1,2
60002793-01,1,-5,1,3,3,3,4,3,2,2,2,2,2,2,2,2,3,6,-1,1,2
60002794-01,1,7,1,2,2,2,4,2,1,3,2,2,2,2,2,2,2,6,-1,1,1
60002795-02,2,-1,-1,-1,-1,-1,-1,1,1,1,3,3,4,3,2,2,4,6,-1,2,2
60002797-01,1,-5,3,3,3,2,4,2,1,1,2,4,3,3,2,2,3,-5,-1,2,2
60002799-03,2,-1,-1,-1,-1,-1,-1,1,1,1,3,3,4,4,3,3,3,6,-1,1,1
60002800-01,1,7,1,3,3,2,3,3,1,2,2,3,2,3,3,3,3,7,-1,1,1
60002804-01,1,7,1,1,3,1,4,2,1,2,3,3,1,3,3,3,3,7,-1,1,1
60002809-02,2,-1,-1,-1,-1,-1,-1,2,1,2,2,3,4,3,2,2,4,6,-1,2,2
60002810-03,1,7,1,4,4,4,4,1,1,2,2,3,1,2,1,2,2,7,-1,1,2
60002813-02,1,7,3,2,4,1,2,3,1,3,4,4,3,4,4,4,4,7,-1,1,2
60002815-01,1,-5,1,2,3,2,3,3,1,3,3,3,2,3,2,2,3,6,-1,2,2
60002823-01,2,-1,-1,-1,-1,-1,-1,2,1,3,3,3,2,3,3,3,3,7,-1,1,1
60002824-01,1,6,3,2,2,3,2,3,2,3,2,4,3,3,3,4,4,7,-1,1,2
60002829-01,1,7,2,3,3,4,4,2,2,2,3,3,2,3,3,3,3,7,-1,1,2
60002834-01,1,-5,1,3,3,3,2,2,2,3,3,4,2,2,2,3,3,7,-1,1,2
60002839-02,1,7,1,3,3,2,3,3,1,3,2,2,2,2,1,2,1,7,-1,2,2
60002844-01,1,7,1,3,4,4,3,2,3,2,3,4,3,4,3,3,4,7,-1,1,2
60002848-01,1,7,1,2,2,2,1,4,1,2,2,4,2,4,2,4,4,7,-1,1,1
60002852-03,1,7,3,4,4,4,4,2,1,2,2,3,2,2,4,4,3,6,-1,1,2
60002853-01,1,1,3,3,3,3,4,2,2,3,3,3,2,3,3,4,4,12,-1,1,2
60002858-01,1,7,1,3,2,3,3,1,1,3,2,3,1,3,1,2,2,6,-1,1,2
60002860-01,1,6,3,3,3,3,3,3,1,2,3,3,2,3,3,3,3,6,-1,1,2
60002862-01,1,7,1,-9,-9,-9,-9,3,1,3,-9,-9,2,-9,-9,-9,-9,7,-1,1,2
60002863-01,2,-1,-1,-1,-1,-1,-1,2,1,2,4,4,4,2,3,4,4,6,-1,1,2
60002865-01,2,-1,-1,-1,-1,-1,-1,1,2,3,3,3,3,3,2,3,3,7,-1,1,2
60002866-01,1,7,1,3,3,2,4,2,1,3,2,4,2,4,1,2,4,7,-1,1,2
60002872-01,1,6,1,4,4,4,4,1,1,2,2,2,1,2,2,2,2,7,-1,2,2
60002873-01,1,6,3,-9,-9,2,-9,3,1,-9,-9,3,4,2,4,4,4,6,-1,1,2
60002876-03,1,6,1,2,3,2,3,2,2,3,4,4,3,4,3,4,4,6,-1,1,2
60002883-01,1,6,1,2,2,2,2,2,2,3,2,4,3,4,2,3,2,6,-1,2,2
60002888-01,2,-1,-1,-1,-1,-1,-1,1,1,3,2,3,3,3,2,3,4,6,-1,2,2
60002889-01,1,7,1,2,3,3,3,3,1,2,3,4,2,2,2,2,2,6,-1,1,2
60002893-01,1,7,1,4,4,3,4,1,1,2,1,3,2,3,3,3,3,7,-1,1,2
60002897-01,2,-1,-1,-1,-1,-1,-1,3,2,3,4,4,2,4,4,4,4,12,-1,1,2
60002898-01,1,7,1,4,4,4,4,2,1,3,2,3,2,2,2,3,4,7,-1,2,2
60002901-02,1,7,1,3,3,2,3,3,1,2,2,2,2,2,1,1,1,6,-1,1,1
60002903-01,1,7,1,3,4,2,4,2,1,2,2,2,2,2,2,2,3,7,-1,1,2
60002905-01,1,-5,3,2,2,2,2,2,1,3,3,3,3,2,2,-9,4,6,-1,2,2
60002906-01,1,7,1,3,2,2,2,3,1,2,2,3,2,3,3,2,3,7,-1,2,2
60002911-03,1,7,1,4,4,3,4,1,2,3,3,3,1,3,4,3,2,7,-1,1,1
60002914-01,1,7,1,4,4,4,3,1,1,1,3,3,4,3,1,1,1,7,-1,1,1
60002917-02,1,7,3,3,4,1,3,2,2,2,2,4,2,3,2,2,4,7,-1,1,2
60002918-01,1,7,1,1,1,2,2,3,1,2,2,3,2,3,2,2,3,4,-1,2,2
60002919-01,2,-1,-1,-1,-1,-1,-1,3,1,3,3,4,4,4,3,3,4,7,-1,2,2
60002923-01,1,7,1,4,4,3,4,1,2,2,3,2,2,2,2,3,2,7,-1,1,1
60002926-01,2,-1,-1,-1,-1,-1,-1,1,1,2,3,3,2,3,2,3,2,6,-1,2,2
60002932-01,1,7,3,3,3,2,2,2,1,3,2,3,1,2,1,2,2,7,-1,1,2
60002933-03,2,-2,-2,-2,-2,-2,-2,3,3,1,2,2,3,2,4,2,2,7,-1,1,2
60002935-01,1,6,1,2,3,3,3,2,1,3,3,3,-9,3,2,3,4,6,-1,1,2
60002936-02,1,6,1,3,4,3,4,1,1,2,2,4,3,4,2,2,3,6,-1,1,2
60002937-01,1,5,2,4,4,4,4,1,1,2,3,4,2,2,1,1,1,5,-1,1,2
60002938-01,1,7,1,3,3,2,3,2,2,2,2,2,2,2,2,2,2,6,-1,2,2
60002939-01,1,-5,1,2,1,1,1,4,1,2,3,4,4,4,2,4,3,6,-1,1,2
60002940-01,1,7,2,3,3,3,2,3,1,2,3,3,2,3,1,3,4,7,-1,2,2
60002941-01,1,7,3,3,3,2,3,3,1,3,2,2,2,2,2,2,3,6,-1,1,1
60002942-02,1,7,1,3,3,2,3,2,2,3,3,3,2,3,3,3,2,7,-1,1,1
60002954-02,1,7,1,4,4,3,3,2,1,3,3,3,2,4,3,3,3,7,-1,1,1
60002956-02,2,-1,-1,-1,-1,-1,-1,1,1,2,4,4,4,-9,4,4,4,6,-1,2,2
60002959-01,1,7,1,3,4,2,3,3,2,3,2,4,2,3,1,1,1,7,-1,1,2
60002960-01,1,6,3,4,4,3,2,2,1,1,2,3,2,2,2,3,3,6,-1,2,2
60002962-01,2,-1,-1,-1,-1,-1,-1,4,1,3,2,2,3,3,2,3,2,6,-1,1,1
60002973-01,1,7,2,4,4,3,4,1,2,3,2,3,1,3,2,2,4,7,-1,1,2
60002979-01,1,7,2,2,2,1,2,3,1,3,3,3,2,3,2,3,4,7,-1,1,2
60002985-01,1,6,1,4,4,4,4,1,1,2,2,3,-9,3,2,2,2,6,-1,2,2
60002990-01,1,7,1,3,3,2,4,3,1,2,2,2,2,3,1,2,3,7,-1,1,2
60002996-01,1,7,1,3,2,4,3,2,1,3,2,2,2,2,1,1,2,6,-1,2,2
60002999-01,1,7,2,3,3,2,4,3,1,3,3,3,2,2,2,3,4,7,-1,2,2
60003000-01,1,7,1,2,1,2,2,3,2,4,4,4,3,4,3,4,4,6,-1,2,2
60003003-01,1,7,3,4,4,2,4,3,1,2,2,3,2,3,1,2,3,6,-1,1,2
60003005-01,2,-1,-1,-1,-1,-1,-1,2,1,3,2,4,4,4,4,4,4,6,-1,2,2
60003015-01,1,6,3,2,3,3,3,2,1,3,3,3,3,3,2,2,2,6,-1,2,2
60003017-02,1,7,1,3,2,2,4,2,1,3,2,3,2,3,2,2,3,6,-1,1,2
60003021-01,1,2,1,3,1,1,4,2,1,1,4,3,3,3,1,2,2,6,-1,1,2
60003023-02,1,7,1,3,4,2,4,2,1,2,3,3,2,3,3,3,4,6,-1,1,1
60003025-01,1,6,1,2,2,2,2,3,2,2,2,2,2,2,1,2,2,6,-1,1,2
60003029-01,1,7,1,4,4,3,3,2,1,2,2,2,2,3,2,4,4,7,-1,1,1
60003041-02,2,-1,-1,-1,-1,-1,-1,2,2,2,3,4,2,2,3,4,3,6,-1,2,2
60003043-01,1,7,1,3,4,2,4,2,1,3,2,2,2,2,2,2,3,7,-1,1,1
60003046-02,1,-5,1,3,4,2,4,2,1,2,3,3,4,3,2,4,4,6,-1,2,2
60003051-01,1,-5,2,3,2,2,3,2,1,3,2,2,2,2,2,2,2,6,-1,1,2
60003052-01,1,7,3,4,3,2,2,1,1,2,3,4,2,3,3,3,4,6,-1,1,2
60003061-01,1,7,2,2,2,2,2,3,1,2,2,3,2,2,2,2,2,6,-1,1,2
60003064-01,1,-5,1,4,4,3,2,2,2,3,4,4,2,4,3,4,4,7,-1,2,2
60003065-01,-9,-6,-6,-6,-6,-6,-6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6,-1,2,2
60003069-01,1,-5,1,4,4,4,4,1,1,3,2,3,-9,3,-9,4,4,6,-1,1,2
60003071-02,1,6,1,2,2,2,2,3,2,3,3,4,2,3,3,4,4,6,-1,1,2
60003074-02,1,12,2,4,4,4,4,5,4,4,4,4,4,4,4,4,4,91,JAIL,2,2
60003079-01,2,-1,-2,-2,-2,-2,-2,3,2,2,2,2,2,2,2,2,2,6,-1,2,2
60003080-01,1,6,1,3,4,4,4,2,1,2,1,2,2,2,1,2,2,6,-1,2,2
60003082-01,1,7,3,3,3,3,4,3,2,3,3,4,3,3,2,2,4,7,-1,1,1
60003083-01,1,7,1,2,3,3,3,2,1,3,2,2,2,2,2,3,3,7,-1,1,2
60003084-01,1,6,2,4,3,4,3,1,1,2,3,3,2,3,2,2,2,6,-1,1,2
60003085-02,1,7,1,4,4,3,4,2,1,4,3,2,2,2,3,2,3,7,-1,1,1
60003091-01,1,6,1,3,3,3,4,2,1,2,2,2,2,2,3,3,3,6,-1,1,2
60003094-01,2,-1,-1,-1,-1,-1,-1,3,1,2,3,3,3,3,3,3,3,6,-1,2,2
60003095-01,1,6,1,4,4,4,4,1,1,2,3,4,4,-9,3,3,3,6,-1,2,2
60003097-01,1,7,1,2,3,3,2,2,1,3,3,3,2,3,2,3,3,7,-1,1,2
60003098-02,1,7,2,3,4,2,4,1,1,3,2,4,2,4,3,3,4,7,-1,1,2
60003099-02,1,7,3,3,3,3,3,3,1,2,3,3,3,3,2,3,3,7,-1,1,2
60003100-01,2,-1,-1,-1,-1,-1,-1,1,1,2,2,3,1,3,2,4,3,7,-1,2,2
60003101-01,2,-1,-1,-1,-1,-1,-1,2,1,4,2,3,2,3,1,3,3,6,-1,2,2
60003103-01,1,1,1,4,4,4,4,2,1,3,-9,3,3,3,2,3,4,1,-1,2,2
60003104-01,1,7,1,2,2,2,2,3,1,2,3,3,2,3,2,3,4,6,-1,2,2
60003105-02,1,7,1,4,4,4,4,1,1,2,3,3,1,3,1,2,3,6,-1,2,2
60003106-01,1,7,1,4,4,4,4,4,2,3,3,3,2,4,2,3,4,7,-1,1,2
60003111-01,1,-5,2,3,3,2,3,3,1,2,3,3,2,2,1,3,3,-5,-1,2,2
60003113-03,1,-5,1,3,2,2,2,2,1,3,3,3,3,3,2,3,4,6,-1,2,2
60003114-02,1,7,1,3,4,2,2,2,1,3,2,2,3,2,2,3,4,6,-1,1,2
60003116-01,1,5,1,4,4,4,4,1,1,2,3,4,4,4,1,4,4,6,-1,2,2
60003127-01,1,7,3,2,2,2,2,3,1,2,3,3,2,3,2,3,2,6,-1,1,1
60003133-01,1,6,1,4,-9,4,4,3,2,3,3,3,3,3,2,-9,3,6,-1,1,2
60003135-01,1,7,2,3,1,1,3,2,2,2,3,3,3,3,2,3,3,7,-1,1,2
60003136-03,2,-1,-1,-1,-1,-1,-1,2,2,3,4,3,2,2,1,3,3,-5,-1,1,2
60003147-01,1,7,1,4,4,2,3,2,1,2,2,3,1,3,2,3,3,7,-1,1,2
60003151-01,1,7,2,3,4,3,3,3,2,3,4,4,2,4,4,3,3,7,-1,2,2
60003152-02,1,7,3,4,4,4,4,1,1,1,3,4,1,4,1,1,1,6,-1,1,2
60003155-01,1,6,2,2,3,3,4,2,2,4,4,4,3,4,3,4,4,6,-1,2,2
60003161-01,1,7,3,2,3,1,2,2,1,2,3,3,2,3,2,2,2,6,-1,1,1
60003165-02,1,7,1,3,3,3,3,3,1,3,3,3,1,3,-5,-9,4,6,-1,1,2
60003168-01,1,7,3,3,4,3,4,3,1,3,2,2,2,2,2,3,3,7,-1,1,2
60003173-02,1,7,3,4,4,2,4,3,2,2,2,2,2,2,2,2,2,7,-1,2,2
60003178-01,1,7,3,3,3,3,2,2,1,3,3,3,2,3,1,3,4,6,-1,1,2
60003184-01,1,7,1,4,4,4,3,1,1,2,2,2,1,2,2,2,3,7,-1,1,1
60003191-01,1,7,2,3,3,2,3,3,1,2,2,4,2,4,2,2,4,6,-1,2,2
60003195-01,1,7,1,4,4,3,4,1,2,1,3,3,1,2,2,3,4,7,-1,1,1
60003198-03,1,7,3,2,3,3,3,3,1,3,3,3,3,3,3,3,3,6,-1,2,2
60003203-01,1,7,3,2,2,2,2,2,2,1,3,3,2,2,2,2,1,7,-1,1,2
60003208-02,2,-1,-1,-1,-1,-1,-1,1,1,3,4,4,4,4,2,4,4,6,-1,2,2
60003213-01,-9,-6,-6,-6,-6,-6,-6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-5,-1,2,2
60003214-01,1,2,2,4,4,4,3,1,1,2,3,3,4,3,1,2,3,6,-1,2,2
60003216-01,1,-5,2,2,3,2,2,3,1,2,2,3,2,3,2,3,3,6,-1,1,2
60003224-02,-9,-6,-6,-6,-6,-6,-6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,7,-1,2,2
60003229-02,1,7,1,2,2,2,3,3,1,3,3,3,3,4,2,3,4,7,-1,1,2
60003237-01,1,7,1,3,4,2,3,3,2,3,3,3,2,3,3,3,3,7,-1,1,2
60003240-01,1,7,3,2,2,1,1,5,2,3,2,2,2,2,2,2,4,7,-1,2,2
60003241-01,1,7,1,3,3,4,3,2,1,2,3,3,2,4,2,2,2,6,-1,1,2
60003242-01,1,7,3,-9,-9,-9,-9,2,1,-9,-9,-9,-9,-9,-9,-9,-9,4,-1,2,2
60003244-01,1,7,1,4,2,3,3,1,3,2,3,3,1,2,3,3,2,7,-1,1,1
60003245-02,2,-1,-1,-2,-2,-2,-2,1,1,3,4,4,1,4,2,4,4,-5,-1,2,2
60003254-01,1,7,2,3,2,2,2,1,1,2,2,2,2,3,1,3,3,5,-1,2,2
60003255-01,1,7,1,3,2,1,2,3,1,3,3,3,2,2,2,2,2,6,-1,1,2
60003256-01,1,7,2,2,3,2,3,3,1,2,3,3,3,3,1,3,4,7,-1,2,2
60003261-01,1,1,3,4,4,4,4,1,1,2,3,4,-9,3,3,3,2,6,-1,2,2
60003269-01,1,7,1,3,3,3,3,3,1,2,2,2,2,3,2,3,3,7,-1,1,2
60003272-01,1,-5,2,3,3,3,3,3,1,3,3,-9,2,4,4,4,4,6,-1,2,2
60003275-02,2,-1,-1,-1,-1,-1,-1,1,1,-9,4,4,4,4,4,4,4,6,-1,2,2
60003282-01,2,-1,-1,-1,-1,-1,-1,3,2,1,3,3,2,2,3,2,2,7,-1,2,2
60003287-01,2,-1,-1,-1,-1,-1,-1,4,2,2,3,4,2,3,3,4,4,7,-1,1,2
60003288-02,1,7,3,4,4,4,4,1,1,4,3,4,1,3,4,4,4,6,-1,2,2
60003294-01,1,-5,1,3,4,4,3,3,1,1,4,4,2,2,3,4,4,7,-1,1,2
60003300-02,1,7,2,2,2,2,2,3,1,3,3,3,2,3,1,2,4,7,-1,1,1
60003301-02,1,5,1,2,2,2,2,2,1,1,3,3,3,3,3,4,4,6,-1,1,2
60003303-01,1,7,1,2,2,2,3,4,1,2,2,2,2,2,1,3,4,7,-1,1,2
60003313-01,1,7,1,4,4,2,4,2,1,2,2,2,2,3,1,2,3,7,-1,1,2
60003314-01,1,1,2,2,3,4,4,1,3,2,3,3,2,4,4,3,2,91,ANYONE NOT ASSOCIATED WITH BIG PHARMA,1,1
60003324-01,2,-1,-1,-1,-1,-1,-1,2,1,2,4,4,-9,4,2,2,2,6,-1,2,2
60003329-01,2,-1,-1,-1,-1,-1,-1,1,1,3,4,4,3,3,4,4,4,6,-1,1,2
60003331-01,2,-1,-1,-1,-1,-1,-1,2,1,2,2,3,4,3,2,4,3,6,-1,2,2
60003332-02,1,7,1,2,2,2,3,2,2,3,2,2,2,2,2,3,3,6,-1,1,2
60003333-01,1,7,1,4,4,3,4,1,1,3,3,2,1,2,2,2,2,7,-1,1,1
60003334-01,1,6,3,3,3,4,4,1,1,1,2,3,2,3,2,3,3,6,-1,2,2
60003336-03,1,7,2,4,4,4,4,1,1,2,2,2,2,3,1,2,2,7,-1,2,2
60003348-02,1,7,1,3,4,2,3,3,1,3,2,3,3,3,2,2,2,6,-1,1,2
60003350-01,1,6,1,3,2,2,2,2,1,3,3,1,3,3,3,1,1,-9,-6,-9,-9
60003352-01,1,7,2,2,3,3,2,3,1,2,3,4,2,4,2,3,3,6,-1,2,2
60003355-01,1,7,1,4,4,4,4,1,1,2,3,3,1,3,3,3,3,7,-1,1,1
60003356-02,1,7,1,2,1,1,3,4,1,1,3,3,3,3,3,2,3,7,-1,1,2
60003358-02,1,7,3,2,-9,-9,1,3,1,3,4,4,3,4,3,4,3,7,-1,1,2
60003362-01,1,7,1,-9,-9,-9,-9,-9,2,2,3,4,2,4,3,4,1,7,-1,1,2
60003364-01,2,-1,-1,-1,-1,-1,-1,2,1,2,2,2,2,2,2,2,2,7,-1,2,2
60003366-01,1,7,1,4,4,4,4,1,1,2,2,3,1,3,1,2,3,7,-1,1,2
60003367-02,1,7,2,3,3,3,3,3,1,2,3,3,2,3,2,3,3,7,-1,1,2
60003370-01,1,7,1,2,3,3,4,2,2,3,4,4,2,4,4,4,4,7,-1,1,1
60003373-02,1,7,2,4,4,4,4,2,2,2,3,3,2,4,3,2,2,7,-1,1,2
60003374-01,1,7,3,2,2,3,3,1,1,2,2,2,2,2,2,2,3,7,-1,1,2
60003380-01,1,7,1,3,3,3,3,3,1,3,2,3,2,3,1,1,3,7,-1,2,2
60003382-01,1,5,1,4,4,4,4,1,1,1,3,3,3,3,3,3,3,7,-1,1,1
60003391-03,1,7,1,4,4,4,4,1,1,3,2,4,2,3,1,1,3,7,-1,1,2
60003392-01,1,7,2,3,4,3,3,2,1,2,3,4,1,2,2,3,3,7,-1,1,2
60003393-01,1,6,1,4,4,4,4,1,1,3,4,4,4,4,4,4,4,6,-1,2,2
60003395-01,1,-5,3,3,3,1,3,2,1,2,3,4,4,4,2,2,3,7,-1,1,2
60003397-01,1,7,1,3,4,3,3,2,2,3,2,3,2,3,2,3,3,7,-1,1,1
60003403-01,1,6,1,2,2,2,1,3,2,2,2,4,2,3,3,-5,3,6,-1,1,2
60003404-01,1,1,3,2,2,3,3,3,1,2,3,4,3,4,3,3,3,1,-1,1,2
60003405-01,1,4,3,2,3,2,3,2,1,1,3,3,2,2,2,2,2,7,-1,2,2
60003409-01,1,7,3,2,2,2,2,3,2,3,4,4,3,4,2,4,4,7,-1,2,2
60003413-01,1,7,2,4,4,4,4,1,1,2,4,4,2,4,2,3,3,7,-1,1,1
60003416-01,1,-5,3,1,1,1,2,3,1,2,2,3,3,2,1,2,4,7,-1,2,2
60003420-01,2,-1,-1,-1,-1,-1,-1,3,1,2,4,4,3,4,3,3,3,6,-1,2,2
60003434-01,1,7,1,4,4,4,4,2,1,2,3,-9,2,3,1,3,2,7,-1,1,2
60003439-01,1,7,1,4,4,2,4,2,1,2,3,2,2,3,1,2,4,7,-1,1,2
60003444-02,1,7,1,2,3,3,3,3,1,3,3,3,2,3,3,3,3,6,-1,2,2
60003448-01,1,7,1,3,3,2,3,2,1,2,2,2,2,3,2,3,3,7,-1,1,2
60003449-01,1,-5,1,4,4,4,4,1,1,2,3,3,2,3,1,3,3,6,-1,1,2
60003453-03,2,-1,-1,-1,-1,-1,-1,2,2,2,4,4,4,4,4,4,4,7,-1,1,2
60003455-03,1,7,1,3,2,2,3,2,1,2,3,4,2,3,2,3,3,7,-1,2,2
60003459-01,1,7,2,1,1,1,1,5,1,1,3,3,3,3,3,3,3,7,-1,1,1
60003462-01,1,7,1,4,4,3,4,2,1,3,3,4,2,3,2,4,4,7,-1,1,1
60003465-01,1,7,1,4,3,3,4,2,1,3,3,3,2,3,3,3,2,6,-1,1,2
60003468-02,-9,-6,-6,-6,-6,-6,-6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,7,-1,1,1
60003469-01,1,7,1,3,4,1,3,3,1,3,4,4,3,4,3,3,4,7,-1,1,2
60003476-01,2,-1,-1,-1,-1,-1,-1,2,2,3,3,3,2,3,2,3,2,6,-1,2,2
60003477-01,2,-1,-1,-1,-1,-1,-1,3,1,3,3,3,4,4,3,3,3,6,-1,1,2
60003478-01,2,-1,-1,-1,-1,-1,-1,1,1,2,3,3,2,3,2,2,3,6,-1,2,2
60003479-01,1,7,2,2,2,1,3,3,2,3,3,3,2,4,1,2,4,7,-1,2,2
60003486-02,1,7,3,4,4,4,4,1,3,2,4,2,1,4,4,4,4,7,-1,1,2
60003491-01,1,-5,2,2,2,2,3,2,2,2,3,3,2,3,2,2,3,-5,-1,1,2
60003495-01,2,-1,-1,-1,-1,-1,-1,2,4,3,1,1,1,1,3,1,3,6,-1,1,2
60003501-01,1,6,1,2,-9,-9,-9,2,1,-9,-9,-9,-9,-9,-9,-9,-9,6,-1,2,2
60003502-01,1,7,2,4,4,4,4,2,1,2,2,2,1,2,1,3,3,6,-1,1,2
60003505-01,1,7,3,3,4,4,4,1,2,3,3,3,2,3,3,3,4,1,-1,1,2
60003507-01,1,7,1,2,2,1,3,2,1,2,2,4,2,3,2,3,4,7,-1,1,2
60003510-01,1,1,2,2,-9,-9,-9,4,2,2,3,2,2,3,4,4,3,1,-1,2,2
60003518-01,1,7,2,3,3,3,4,3,1,2,2,2,2,2,2,3,4,6,-1,1,2
60003519-01,2,-1,-1,-1,-1,-1,-1,1,1,3,3,3,1,3,2,4,3,6,-1,1,2
60003522-01,1,6,3,4,4,-9,4,1,1,3,3,3,2,3,1,3,4,6,-1,1,2
60003524-02,1,1,1,3,4,3,4,2,1,3,3,3,2,2,2,3,3,6,-1,2,2
60003528-02,1,7,1,3,2,2,3,3,1,2,3,3,3,3,3,3,3,6,-1,1,2
60003534-01,2,-1,-1,-1,-1,-1,-1,1,1,3,3,3,3,3,4,4,4,6,-1,2,2
60003536-01,1,6,1,4,3,3,4,3,1,2,2,4,3,4,4,2,4,6,-1,2,2
60003537-02,2,-1,-1,-1,-1,-1,-1,1,2,2,4,4,2,3,4,4,4,-5,-1,2,2
60003542-01,1,7,1,3,3,2,2,3,1,2,3,3,2,3,3,3,3,6,-1,1,2
60003543-01,1,5,1,2,1,2,2,2,1,2,3,3,3,3,3,3,3,6,-1,1,2
60003545-03,1,9,1,2,3,1,3,3,1,2,2,2,3,2,2,2,2,6,-1,2,2
60003546-01,1,11,2,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,-9,-9,6,-1,2,2
60003547-02,2,-1,-1,-1,-1,-1,-1,1,2,3,2,4,1,4,3,4,1,7,-1,2,2
60003548-02,1,7,1,4,-9,4,4,3,1,2,4,3,2,3,2,3,4,6,-1,1,2
