PersonID,ChanceGetCancer,EverythingCauseCancer,PreventNotPossible,TooManyRecommendations,CancerMoreCommon,CancerFatal,RatherNotKnowChance,FreqWorryCancer,FamilyEverHadCancer
60001691-01,3,2,3,2,4,2,3,2,1
60001698-02,2,4,4,4,4,4,3,2,1
60001699-01,2,1,2,2,3,2,3,2,2
60001705-01,2,1,4,1,4,1,1,3,1
60001709-01,4,2,2,2,2,3,2,3,1
60001712-02,4,2,3,2,4,2,4,2,1
60001719-02,4,1,3,1,-9,3,4,3,1
60001721-01,3,3,4,1,4,1,4,2,1
60001723-01,5,2,2,2,2,2,2,4,1
60001733-01,3,2,3,2,3,2,3,3,1
60001735-02,3,1,3,1,2,1,4,4,1
60001738-02,-9,-9,-9,-9,-9,-9,-9,-9,4
60001744-01,4,2,2,2,2,4,3,1,1
60001753-01,3,2,4,3,3,4,3,3,1
60001754-01,4,4,4,2,2,2,3,2,1
60001756-01,3,2,3,2,3,2,4,2,2
60001762-01,3,3,4,2,2,3,4,2,1
60001770-01,4,3,3,2,4,3,4,4,1
60001771-03,3,2,2,2,2,2,2,3,1
60001772-03,2,3,1,2,2,3,2,4,2
60001776-01,4,2,3,2,2,3,2,3,2
60001784-01,1,2,3,2,4,2,4,4,2
60001786-02,3,2,3,3,3,3,3,1,2
60001790-01,2,2,3,2,2,1,2,2,4
60001792-01,3,3,3,2,3,3,3,1,2
60001801-01,1,4,4,2,2,1,4,1,4
60001807-01,3,3,4,4,3,1,1,3,1
60001813-01,4,2,2,2,2,1,2,4,1
60001816-01,2,3,4,2,3,4,2,2,2
60001818-02,3,2,4,3,3,4,4,2,1
60001819-03,4,2,4,2,3,2,3,2,1
60001830-01,2,4,3,3,4,2,4,2,2
60001832-01,1,2,3,2,3,4,1,1,1
60001843-01,3,3,4,2,2,2,2,3,1
60001845-01,5,1,4,4,3,1,4,5,1
60001846-01,3,2,2,2,3,1,2,2,2
60001849-02,3,1,2,2,2,3,2,5,1
60001850-01,4,1,4,1,3,1,3,1,1
60001851-02,4,4,4,4,2,4,2,1,4
60001854-01,2,2,4,-9,4,1,2,2,1
60001859-01,3,4,4,3,4,4,3,1,4
60001865-01,3,2,3,1,-9,2,-9,3,-9
60001869-01,1,2,3,1,1,1,1,1,1
60001871-02,2,2,3,2,2,3,2,3,4
60001872-01,3,1,3,1,2,1,2,2,1
60001873-03,3,2,2,2,3,2,4,1,1
60001876-01,4,3,3,2,3,2,4,3,1
60001877-01,4,1,2,1,3,2,2,4,2
60001879-01,3,4,4,4,4,4,2,2,2
60001883-01,5,2,4,1,4,2,4,2,1
60001886-01,3,3,2,1,3,3,4,4,1
60001891-01,4,2,3,1,2,1,4,3,2
60001894-01,3,3,3,2,2,4,4,3,1
60001895-03,4,3,4,2,4,4,4,3,1
60001899-01,3,3,4,2,3,4,3,2,1
60001905-01,3,3,-9,2,3,1,2,1,2
60001907-01,4,2,2,2,3,2,4,2,2
60001913-01,3,3,4,2,3,3,3,2,2
60001914-02,1,2,2,2,2,3,4,5,2
60001916-03,3,2,2,1,2,1,2,5,2
60001918-01,4,3,4,2,4,3,3,2,1
60001921-02,3,1,1,1,3,2,2,1,1
60001930-01,3,2,3,2,3,3,4,3,1
60001933-01,3,2,1,1,3,1,1,2,1
60001934-02,3,3,2,2,3,2,2,2,1
60001935-01,2,2,3,2,3,3,1,2,1
60001938-02,3,3,4,2,3,4,4,3,1
60001944-01,3,3,4,2,2,2,4,3,1
60001945-02,-9,3,3,2,2,3,2,2,2
60001946-02,-9,-9,-9,-9,-9,-9,-9,-9,1
60001947-01,1,2,2,2,2,2,2,2,1
60001949-02,1,2,3,2,3,3,2,2,2
60001950-01,4,4,4,-9,2,4,1,1,1
60001954-02,4,1,1,1,3,2,1,1,1
60001959-01,3,2,3,2,3,2,4,3,1
60001960-01,-9,4,3,4,3,4,4,3,1
60001962-01,-9,2,2,2,4,4,1,3,1
60001963-01,1,1,3,2,2,1,4,4,1
60001966-01,2,2,4,4,3,3,4,1,1
60001967-02,4,3,3,2,3,2,3,3,2
60001970-01,4,3,3,2,2,3,3,2,1
60001974-01,3,2,2,2,3,3,3,2,1
60001976-01,3,1,3,3,-9,1,2,2,1
60001979-02,4,2,2,2,3,2,3,3,1
60001981-03,4,1,1,1,3,3,4,5,1
60001983-01,3,2,4,2,3,3,4,3,1
60001988-01,3,2,2,2,2,3,3,2,1
60001992-01,3,4,4,3,2,2,3,3,1
60001998-01,3,2,3,2,2,2,3,3,1
60001999-01,4,2,4,3,3,2,3,3,1
60002001-01,3,3,4,2,2,2,3,4,1
60002008-03,3,2,3,1,3,1,2,4,1
60002009-01,4,2,4,2,3,1,4,4,1
60002017-01,1,2,4,4,3,4,4,1,2
60002023-02,3,-9,2,2,3,1,2,3,1
60002025-02,3,1,4,3,2,1,2,3,2
60002030-01,3,1,1,1,2,2,2,2,1
60002033-02,3,4,4,3,4,2,3,2,2
60002040-02,4,1,3,1,3,2,2,3,1
60002041-02,2,2,2,1,3,3,2,1,2
60002044-01,3,1,4,2,3,1,3,2,1
60002045-02,3,3,3,2,3,2,4,3,1
60002047-02,4,2,3,3,3,3,4,1,4
60002052-02,4,1,3,4,3,2,4,3,2
60002060-01,4,2,4,3,2,1,1,5,1
60002068-01,3,4,4,2,2,4,3,2,1
60002070-02,3,2,3,1,3,1,2,3,1
60002071-01,4,2,-9,2,2,2,1,3,1
60002081-01,2,3,-9,-9,-9,-9,2,2,2
60002082-01,3,4,2,1,2,4,4,1,1
60002087-01,3,3,4,3,3,4,4,2,1
60002088-01,3,2,2,2,2,2,2,2,1
60002090-01,3,2,3,2,2,2,2,2,2
60002091-02,2,3,3,2,3,3,4,1,2
60002092-01,1,4,2,3,3,1,1,1,1
60002094-02,3,2,4,3,4,4,4,2,1
60002097-02,4,2,4,1,2,3,2,2,1
60002104-02,4,1,2,1,2,2,2,3,1
60002106-01,3,2,2,2,2,2,2,3,1
60002107-01,3,1,3,2,2,1,3,5,1
60002116-01,1,4,4,3,4,3,4,1,2
60002121-02,3,2,2,2,2,2,2,3,1
60002127-02,1,4,1,-9,3,4,4,1,1
60002129-02,3,3,4,1,2,2,3,5,1
60002132-01,3,3,4,3,4,3,4,3,4
60002140-02,4,1,4,2,2,2,4,3,1
60002142-01,4,4,4,4,4,3,3,2,1
60002148-01,3,2,3,1,3,3,3,2,2
60002150-01,3,3,3,3,3,3,3,1,1
60002153-01,3,3,1,1,2,2,2,2,1
60002157-02,3,2,4,1,2,1,1,3,1
60002168-01,4,1,3,2,3,2,3,2,1
60002174-01,3,2,3,1,2,4,4,3,1
60002183-01,3,2,1,1,2,1,4,1,1
60002184-01,5,1,4,2,2,1,4,5,1
60002185-01,3,3,3,1,2,4,1,2,1
60002198-02,2,4,2,1,4,1,1,1,2
60002201-03,4,2,3,3,4,3,1,2,1
60002205-01,4,1,1,1,1,1,2,2,1
60002208-01,3,3,3,3,4,2,4,4,1
60002213-02,3,2,4,2,1,1,2,2,2
60002216-01,3,2,4,2,1,3,4,1,2
60002218-01,4,2,2,2,1,2,2,3,1
60002220-01,2,2,3,2,4,4,4,2,2
60002221-01,3,-9,-9,-9,-9,-9,-9,1,2
60002230-02,3,3,3,2,3,4,3,1,1
60002236-01,3,3,3,2,2,2,2,4,1
60002237-01,3,1,3,2,1,1,4,3,1
60002238-01,5,2,3,2,2,2,3,4,1
60002242-01,4,1,2,2,1,1,2,2,1
60002243-01,4,2,4,3,2,3,4,2,1
60002247-03,4,2,4,3,3,1,3,2,1
60002249-02,3,4,4,2,4,2,4,2,1
60002258-01,1,1,3,3,1,2,1,3,1
60002267-02,3,3,3,2,3,3,3,3,1
60002270-01,2,1,2,2,1,2,1,3,1
60002271-01,3,2,4,2,3,2,1,1,2
60002276-02,3,1,4,1,2,2,3,2,2
60002277-01,3,2,3,2,2,2,3,4,1
60002281-01,5,1,4,3,2,1,2,2,4
60002286-01,4,1,1,1,3,1,3,4,1
60002287-01,3,2,3,3,3,2,3,3,1
60002288-01,-9,3,3,2,3,2,2,2,1
60002293-01,5,1,4,4,1,4,4,3,1
60002297-02,3,2,4,4,3,3,2,3,1
60002307-01,3,2,4,2,2,3,3,4,1
60002308-01,2,3,1,2,4,2,3,2,1
60002315-01,4,2,2,2,2,2,2,3,1
60002317-03,4,2,3,3,2,3,4,3,1
60002318-01,2,3,4,2,3,3,4,2,1
60002319-01,3,3,3,2,3,3,4,3,1
60002320-01,5,1,4,1,2,1,4,4,1
60002327-01,3,4,4,2,4,4,4,1,1
60002330-01,3,3,3,3,4,4,4,3,1
60002332-01,3,2,3,2,3,3,4,2,-9
60002337-03,3,3,2,1,-9,2,-9,-9,1
60002342-01,3,1,1,1,3,1,4,2,1
60002352-01,2,4,4,4,4,4,4,1,1
60002355-02,4,2,3,2,1,2,3,3,1
60002358-01,-9,1,1,1,1,1,-9,-9,2
60002361-01,2,2,2,2,2,3,3,2,1
60002362-01,4,2,4,2,3,3,2,4,1
60002366-02,3,2,3,2,2,2,2,3,1
60002367-01,2,3,4,2,4,4,1,2,1
60002373-02,4,2,2,1,2,2,4,4,1
60002377-01,4,3,4,3,4,3,4,3,2
60002380-01,4,4,4,2,3,2,4,4,1
60002381-01,4,3,3,2,3,3,3,2,1
60002383-01,3,2,3,2,2,2,2,3,1
60002386-01,3,2,4,2,3,2,3,3,1
60002392-01,3,4,4,4,4,2,4,2,1
60002395-01,3,1,2,2,2,2,2,4,1
60002398-01,3,4,3,2,4,4,2,2,1
60002400-02,2,2,3,2,3,1,2,2,1
60002402-01,4,2,3,3,3,2,2,3,1
60002405-02,4,3,4,2,1,2,2,1,1
60002406-01,4,2,3,2,2,2,2,2,1
60002408-03,3,3,4,2,3,3,2,2,1
60002410-01,2,2,4,3,3,4,2,1,2
60002417-01,1,2,3,2,2,3,3,3,1
60002420-01,3,2,3,3,4,2,1,3,1
60002421-01,4,3,4,3,3,1,3,3,2
60002424-01,4,3,3,2,3,2,2,2,1
60002426-01,1,1,2,1,2,2,4,3,1
60002427-02,-9,1,1,1,-9,4,1,1,1
60002429-01,5,4,3,1,4,1,4,5,1
60002430-02,4,2,4,2,4,2,4,2,1
60002434-01,3,2,2,2,2,2,2,4,1
60002435-01,4,4,1,1,2,1,2,4,2
60002436-01,1,3,3,3,3,3,2,4,1
60002437-01,1,4,4,4,4,4,4,1,4
60002439-01,-9,-9,-9,-9,-9,-9,-9,-9,-9
60002444-01,3,2,3,1,2,3,2,2,1
60002445-01,4,2,3,3,2,2,3,3,1
60002448-01,4,2,4,2,3,2,4,2,1
60002449-01,3,1,3,2,2,1,4,2,1
60002450-01,3,2,4,3,4,4,4,3,1
60002453-02,3,4,4,2,3,2,4,2,1
60002456-03,3,3,2,2,2,2,1,4,2
60002458-01,3,2,2,1,2,1,1,2,1
60002459-02,1,3,4,2,2,2,2,2,2
60002463-01,3,3,3,2,3,3,3,2,1
60002464-02,4,3,4,2,2,2,4,2,1
60002465-01,3,4,4,2,3,2,3,1,1
60002468-01,4,2,2,2,2,4,3,1,1
60002470-01,4,2,4,3,3,2,2,3,1
60002476-03,2,2,3,4,4,2,3,2,1
60002478-01,4,3,3,1,4,4,4,2,1
60002483-02,1,1,1,1,1,1,4,1,2
60002484-02,4,1,3,2,2,1,1,3,1
60002485-02,4,4,4,4,4,4,4,4,1
60002487-01,3,2,3,2,4,2,2,3,1
60002488-01,3,3,3,2,3,4,4,2,1
60002489-01,3,2,4,3,2,3,2,2,2
60002490-03,3,1,3,3,3,1,1,4,1
60002495-01,2,2,3,1,1,1,3,2,1
60002501-01,2,4,4,4,4,3,4,2,1
60002511-01,3,2,3,-5,3,3,4,3,1
60002512-01,3,3,4,3,2,2,2,3,1
60002517-01,4,3,4,2,3,4,1,3,1
60002518-01,4,2,4,3,3,2,3,3,1
60002522-01,4,3,4,2,3,3,3,4,1
60002523-02,3,2,3,3,3,2,3,3,1
60002525-01,1,2,3,1,2,1,2,2,1
60002533-01,3,3,4,2,4,2,1,3,1
60002534-01,3,3,3,3,3,4,4,2,1
60002535-01,2,4,4,1,4,2,1,1,1
60002540-01,3,2,3,1,3,2,2,2,2
60002546-03,4,3,3,2,3,4,2,2,1
60002548-02,4,3,4,2,3,2,3,2,1
60002551-01,2,3,4,4,4,2,4,3,2
60002552-01,3,2,4,3,3,2,3,2,1
60002555-01,4,2,3,2,2,3,3,2,1
60002558-03,-9,3,3,3,3,3,2,2,1
60002563-01,4,3,3,2,4,2,2,3,2
60002581-01,3,4,4,3,3,4,3,1,2
60002583-02,4,2,2,2,3,2,3,3,1
60002584-01,3,2,3,2,3,2,2,2,1
60002585-01,4,1,3,3,3,1,2,3,1
60002586-01,3,4,4,1,3,2,4,3,1
60002587-01,3,2,4,2,3,3,4,3,1
60002589-01,4,3,4,2,4,2,3,4,1
60002590-02,4,2,4,1,2,3,3,3,4
60002595-01,4,1,4,2,1,1,4,5,1
60002597-01,2,4,4,3,1,3,2,1,2
60002598-01,3,1,4,1,3,2,2,-5,1
60002603-01,1,3,4,2,1,1,4,1,2
60002605-01,2,-9,-9,-9,-9,-9,-9,3,-9
60002607-01,4,1,2,2,1,1,1,2,1
60002608-01,3,2,3,2,2,2,2,3,1
60002621-03,4,2,4,2,2,3,4,2,1
60002622-01,4,2,3,2,4,2,4,3,4
60002624-02,3,2,4,2,4,2,2,3,1
60002625-01,4,4,4,4,2,4,4,3,1
60002629-03,3,3,3,2,3,2,2,3,1
60002631-03,4,1,2,1,4,1,1,5,1
60002637-01,3,2,4,4,4,3,4,4,2
60002638-01,5,4,4,4,4,4,1,5,1
60002642-01,5,4,4,3,4,2,4,4,1
60002647-01,4,2,3,2,3,1,2,4,1
60002660-01,5,2,3,1,3,1,2,3,1
60002665-02,3,2,3,3,3,3,2,3,4
60002670-01,4,3,3,2,3,4,3,4,4
60002671-02,3,4,4,2,3,2,2,2,4
60002674-01,4,2,3,1,4,2,2,3,1
60002675-02,5,2,3,2,3,4,4,2,1
60002679-01,-9,-9,-9,-9,-9,-9,-9,-9,-9
60002684-02,3,1,2,1,2,4,2,1,1
60002685-01,4,2,2,1,1,3,1,3,4
60002686-01,4,3,4,3,2,2,4,3,1
60002687-01,4,2,4,2,3,2,2,1,1
60002691-01,3,4,4,4,4,3,4,2,1
60002693-02,4,2,3,3,3,2,2,3,1
60002698-01,2,3,4,2,3,4,4,2,1
60002700-01,4,2,3,1,3,2,2,2,1
60002707-01,3,2,2,2,3,3,2,3,2
60002718-02,4,2,4,3,2,3,3,1,1
60002727-01,3,2,3,2,2,2,2,2,2
60002730-01,4,4,2,2,3,2,3,3,2
60002743-02,3,2,3,2,2,2,2,3,2
60002752-02,1,1,1,1,1,1,2,5,1
60002753-02,2,3,3,2,3,3,2,2,1
60002757-01,3,3,3,2,3,3,3,2,4
60002763-03,3,1,3,2,4,2,2,4,1
60002764-03,5,1,2,2,1,1,4,4,1
60002769-01,1,1,2,2,1,1,2,2,1
60002774-01,4,1,3,1,2,2,3,3,1
60002777-01,3,2,4,1,2,4,3,1,1
60002783-01,3,3,4,2,3,4,4,2,1
60002784-02,5,1,1,1,1,1,1,1,4
60002785-01,5,2,3,1,4,3,4,3,1
60002787-01,4,4,4,2,4,4,4,2,1
60002793-01,3,2,3,2,3,3,3,1,4
60002794-01,4,2,3,2,2,2,3,5,1
60002795-02,1,3,2,2,2,3,3,1,1
60002797-01,4,2,2,2,3,3,3,3,1
60002799-03,2,1,1,1,1,1,1,1,2
60002800-01,4,3,4,2,3,3,2,3,1
60002804-01,4,1,4,1,2,1,2,4,1
60002809-02,2,3,4,3,3,3,3,1,2
60002810-03,3,3,3,3,3,3,3,2,2
60002813-02,4,2,3,1,2,1,4,3,1
60002815-01,3,3,3,2,3,4,4,2,2
60002823-01,3,4,3,2,3,3,3,2,1
60002824-01,2,2,3,2,2,3,2,2,1
60002829-01,3,2,3,1,2,3,3,4,1
60002834-01,1,1,3,2,2,2,2,4,1
60002839-02,1,2,3,1,3,2,3,2,1
60002844-01,5,1,3,1,2,3,1,2,1
60002848-01,3,2,3,2,2,2,3,2,1
60002852-03,4,2,4,2,3,3,3,2,1
60002853-01,3,2,4,2,3,3,1,3,1
60002858-01,3,2,3,4,2,1,4,2,1
60002860-01,3,2,3,2,3,3,3,3,1
60002862-01,3,-9,-9,-9,-9,-9,3,3,1
60002863-01,4,2,2,2,2,2,2,3,1
60002865-01,4,2,3,2,2,1,2,5,1
60002866-01,3,2,4,2,3,1,4,4,1
60002872-01,3,4,4,3,1,4,1,2,1
60002873-01,4,2,3,1,2,1,2,4,1
60002876-03,4,2,3,2,2,2,2,3,1
60002883-01,4,2,2,2,2,2,2,3,1
60002888-01,3,3,4,3,3,3,3,3,1
60002889-01,4,3,4,2,3,2,4,3,1
60002893-01,5,1,4,2,3,2,4,2,1
60002897-01,1,2,4,2,2,2,4,2,2
60002898-01,4,2,3,2,3,2,4,3,1
60002901-02,4,2,4,2,2,1,4,5,1
60002903-01,5,2,2,2,2,4,4,3,1
60002905-01,2,3,3,2,2,4,1,1,1
60002906-01,3,1,4,1,2,3,2,2,1
60002911-03,5,1,4,1,3,1,4,4,2
60002914-01,4,2,3,1,2,2,1,1,2
60002917-02,4,2,3,1,2,2,3,3,2
60002918-01,3,1,2,2,2,1,4,3,2
60002919-01,4,1,2,2,2,2,3,2,1
60002923-01,4,1,4,4,4,3,4,2,1
60002926-01,4,2,2,2,3,3,2,2,1
60002932-01,4,2,2,4,2,4,3,2,1
60002933-03,3,1,2,2,4,2,2,4,2
60002935-01,4,4,4,2,2,4,1,2,1
60002936-02,3,3,3,2,3,3,4,1,1
60002937-01,4,2,4,2,2,1,1,3,1
60002938-01,4,1,3,1,3,2,2,2,1
60002939-01,3,4,2,2,4,1,4,2,2
60002940-01,3,2,3,2,3,2,2,2,2
60002941-01,4,2,3,3,2,2,3,3,2
60002942-02,3,4,4,2,2,3,3,2,1
60002954-02,4,2,3,2,3,4,4,2,1
60002956-02,4,1,2,1,1,3,1,4,4
60002959-01,3,2,4,2,4,2,2,3,1
60002960-01,4,2,3,2,3,2,2,2,2
60002962-01,4,2,4,3,3,2,4,3,1
60002973-01,3,2,4,4,2,2,3,2,2
60002979-01,5,2,3,3,3,2,1,2,1
60002985-01,3,3,2,1,3,4,3,1,4
60002990-01,4,3,3,2,2,1,4,3,1
60002996-01,1,3,3,2,4,2,3,4,1
60002999-01,3,2,4,4,3,2,3,2,1
60003000-01,1,1,4,4,2,3,4,1,1
60003003-01,4,2,3,2,2,2,3,2,1
60003005-01,4,1,3,1,4,1,1,2,1
60003015-01,4,2,2,1,1,2,3,3,1
60003017-02,4,2,3,3,3,2,4,2,1
60003021-01,4,2,4,2,2,3,4,3,2
60003023-02,4,3,3,2,2,3,4,2,1
60003025-01,3,1,2,2,2,3,2,3,2
60003029-01,4,3,3,1,4,2,3,2,1
60003041-02,2,3,3,4,1,2,2,1,2
60003043-01,3,2,3,3,2,2,3,3,1
60003046-02,1,3,4,2,1,4,2,2,1
60003051-01,4,2,4,2,3,1,3,3,1
60003052-01,3,2,2,2,2,3,3,2,1
60003061-01,3,2,3,2,3,3,2,3,1
60003064-01,4,1,2,1,2,1,2,3,-5
60003065-01,2,3,1,3,1,1,2,5,1
60003069-01,2,3,4,2,3,2,4,3,-9
60003071-02,4,3,3,3,3,2,2,2,1
60003074-02,3,4,4,4,4,4,1,1,4
60003079-01,5,3,3,3,3,3,3,1,1
60003080-01,3,1,3,2,2,1,4,4,1
60003082-01,4,2,4,2,4,2,2,3,2
60003083-01,4,1,2,2,3,2,2,3,1
60003084-01,4,4,3,2,2,3,3,1,1
60003085-02,3,3,2,2,3,1,3,4,2
60003091-01,5,1,2,1,3,2,3,2,1
60003094-01,3,3,3,2,2,3,2,3,2
60003095-01,3,2,3,1,2,2,2,3,1
60003097-01,4,2,3,2,2,2,2,2,1
60003098-02,4,2,4,2,3,2,4,2,1
60003099-02,3,2,4,3,2,-9,4,1,1
60003100-01,3,1,3,2,3,3,3,1,4
60003101-01,3,2,3,2,3,3,1,3,1
60003103-01,4,2,3,1,2,3,3,2,1
60003104-01,3,2,3,2,3,3,2,2,2
60003105-02,4,1,2,2,2,1,2,2,1
60003106-01,3,2,4,3,3,2,4,4,2
60003111-01,3,2,3,1,2,1,2,2,2
60003113-03,4,2,2,2,3,3,2,3,1
60003114-02,3,2,4,2,3,2,3,2,1
60003116-01,4,2,2,2,2,2,3,4,2
60003127-01,4,2,3,2,4,2,4,2,1
60003133-01,3,2,4,3,4,3,2,2,1
60003135-01,5,3,4,3,3,2,4,3,1
60003136-03,1,3,3,3,3,2,3,5,2
60003147-01,4,2,4,3,3,3,2,3,1
60003151-01,3,1,2,1,3,2,2,2,4
60003152-02,3,3,4,2,4,3,4,3,1
60003155-01,-9,2,2,2,-9,2,2,3,2
60003161-01,4,4,3,3,3,2,3,3,1
60003165-02,3,2,2,2,2,2,2,3,1
60003168-01,3,3,3,2,3,3,2,1,2
60003173-02,2,3,3,1,4,4,2,1,2
60003178-01,4,2,3,3,3,2,4,3,1
60003184-01,3,3,2,2,2,2,2,2,1
60003191-01,3,2,4,1,2,2,3,3,1
60003195-01,1,3,3,3,4,1,3,1,1
60003198-03,3,3,2,1,3,3,3,3,1
60003203-01,2,2,3,2,2,2,3,2,1
60003208-02,3,-9,4,4,4,4,4,1,1
60003213-01,4,2,3,2,2,3,3,3,1
60003214-01,4,3,2,1,2,3,2,3,2
60003216-01,3,3,3,2,3,2,4,2,1
60003224-02,3,3,3,2,3,2,3,2,2
60003229-02,4,3,3,2,3,3,3,3,1
60003237-01,3,2,3,2,2,2,3,3,1
60003240-01,3,3,4,3,4,4,2,2,1
60003241-01,3,3,3,2,1,3,3,1,1
60003242-01,-9,-9,-9,-9,-9,-9,-9,-9,-9
60003244-01,5,1,3,2,2,1,4,5,1
60003245-02,-9,-9,-9,-9,-9,-9,-9,-9,-9
60003254-01,4,1,3,2,2,1,3,2,1
60003255-01,3,2,3,2,4,2,4,2,1
60003256-01,2,2,4,1,3,2,3,3,1
60003261-01,2,3,4,1,2,-9,2,1,1
60003269-01,3,3,3,2,2,4,4,3,1
60003272-01,3,1,2,1,2,1,3,3,1
60003275-02,1,4,2,2,4,1,4,1,1
60003282-01,3,2,3,2,3,2,2,2,1
60003287-01,3,1,3,1,3,1,3,3,2
60003288-02,3,1,2,1,-9,1,1,3,1
60003294-01,3,3,4,2,3,2,3,4,1
60003300-02,4,2,4,2,2,2,4,3,1
60003301-02,1,2,2,2,2,2,2,3,1
60003303-01,4,2,3,3,4,3,2,3,1
60003313-01,3,1,3,2,3,3,4,2,1
60003314-01,5,1,3,3,2,2,4,5,1
60003324-01,1,1,1,1,2,1,2,1,1
60003329-01,3,2,3,2,3,1,4,4,1
60003331-01,4,2,3,2,-9,2,4,4,1
60003332-02,4,2,3,1,4,2,4,4,1
60003333-01,3,4,4,2,2,3,4,2,1
60003334-01,3,3,2,1,3,1,1,3,2
60003336-03,2,2,4,2,3,2,3,1,1
60003348-02,4,1,3,2,4,2,3,4,4
60003350-01,1,2,3,2,1,2,1,3,1
60003352-01,3,1,2,1,2,2,2,3,1
60003355-01,4,2,2,2,4,4,4,2,1
60003356-02,5,1,3,2,2,2,3,3,1
60003358-02,3,2,2,1,2,2,3,3,1
60003362-01,4,-9,-9,-9,-9,-9,4,3,1
60003364-01,2,2,3,2,2,3,2,3,1
60003366-01,2,2,3,3,3,4,4,2,1
60003367-02,3,2,4,3,2,2,4,3,2
60003370-01,4,2,3,4,2,2,2,4,1
60003373-02,2,2,4,3,4,2,2,1,2
60003374-01,3,2,3,3,3,3,3,1,1
60003380-01,2,2,3,2,3,2,4,1,2
60003382-01,1,2,1,2,1,3,4,2,1
60003391-03,3,2,2,2,3,2,4,2,1
60003392-01,5,1,2,3,2,3,3,3,1
60003393-01,3,3,3,2,3,3,2,2,1
60003395-01,5,3,4,3,4,3,1,4,1
60003397-01,-9,2,3,3,-9,2,2,3,1
60003403-01,4,2,3,2,2,1,2,2,1
60003404-01,4,3,3,2,2,4,3,1,1
60003405-01,1,3,4,2,3,1,2,3,2
60003409-01,3,1,2,1,2,1,3,2,1
60003413-01,4,1,1,1,-9,3,3,2,1
60003416-01,2,4,1,1,2,4,3,2,1
60003420-01,3,2,3,2,3,4,4,2,1
60003434-01,3,2,4,3,3,4,3,2,1
60003439-01,4,2,4,3,4,3,4,4,4
60003444-02,3,3,3,3,4,3,3,2,1
60003448-01,2,3,4,2,3,2,2,3,2
60003449-01,2,2,1,2,2,3,3,2,1
60003453-03,4,3,3,3,2,2,3,2,4
60003455-03,4,2,2,2,2,2,2,2,1
60003459-01,3,2,2,1,2,2,1,2,2
60003462-01,4,2,3,2,2,1,2,5,1
60003465-01,4,4,4,2,3,3,4,4,1
60003468-02,4,3,-9,2,2,3,4,2,1
60003469-01,1,3,2,2,2,2,4,4,1
60003476-01,4,3,1,2,3,3,4,4,1
60003477-01,4,4,4,2,2,2,4,3,1
60003478-01,1,2,2,2,2,2,3,2,1
60003479-01,3,4,4,3,3,4,4,1,1
60003486-02,3,3,4,1,2,2,3,3,1
60003491-01,3,3,4,4,4,3,3,2,2
60003495-01,4,1,1,1,1,2,1,1,4
60003501-01,-9,-9,-9,-9,-9,-9,-9,-9,4
60003502-01,4,3,4,3,3,3,3,3,2
60003505-01,3,2,4,2,4,2,3,2,1
60003507-01,4,1,3,1,2,2,4,4,1
60003510-01,4,3,4,2,-9,3,3,2,1
60003518-01,3,2,3,2,2,3,4,3,1
60003519-01,3,2,4,3,3,1,3,3,1
60003522-01,5,1,3,2,3,4,4,5,1
60003524-02,2,2,2,2,2,2,4,2,1
60003528-02,3,2,3,2,3,1,2,3,1
60003534-01,3,3,3,3,2,3,4,2,2
60003536-01,3,3,4,4,3,3,2,1,2
60003537-02,3,1,1,1,1,1,1,1,2
60003542-01,3,2,3,2,2,2,3,3,1
60003543-01,3,2,3,2,4,2,3,2,1
60003545-03,2,2,4,2,3,3,2,2,1
60003546-01,-9,-9,-9,-9,-9,-9,-9,2,1
60003547-02,3,1,3,2,3,3,1,1,1
60003548-02,3,2,1,3,2,1,3,1,1
60003550-01,3,4,4,4,2,2,4,3,1
60003556-01,2,2,2,2,2,2,2,4,1
60003559-01,3,2,3,2,3,4,2,3,1
60003560-01,3,4,1,3,3,4,4,2,1
60003562-02,1,1,1,2,2,1,4,1,2
60003564-01,4,2,3,2,2,4,3,2,1
60003567-02,4,3,2,2,2,2,3,2,1
60003569-01,3,2,3,1,2,2,2,2,1
60003570-01,-9,-9,-9,-9,-9,-9,-9,-9,-9
60003571-01,3,1,3,3,3,3,1,1,1
60003573-01,3,2,2,3,3,3,3,2,2
60003574-03,5,2,2,1,3,1,2,4,4
60003580-01,3,2,1,1,3,1,2,2,1
60003587-01,5,1,1,1,3,1,1,5,1
60003589-03,4,2,3,2,1,2,2,2,1
60003590-01,3,2,3,2,3,1,1,2,1
60003591-01,3,2,3,1,1,3,4,2,1
60003592-02,2,1,2,2,2,2,3,3,1
60003595-01,4,3,4,4,4,4,4,1,1
60003598-02,3,1,3,2,4,2,2,4,1
60003599-01,3,2,3,2,-9,3,3,3,2
60003607-01,4,2,3,2,2,2,3,2,1
60003608-01,5,3,1,2,-9,-9,2,2,1
60003614-01,4,2,2,1,2,1,4,4,1
60003615-02,3,2,4,2,3,2,4,3,1
60003620-02,4,2,3,2,2,2,3,3,1
60003625-01,4,1,2,2,2,1,2,4,1
60003626-01,3,1,1,1,1,1,2,3,2
60003628-01,4,1,2,2,2,2,3,3,2
60003630-01,4,4,4,1,3,1,4,5,1
60003631-02,3,3,3,2,3,3,4,3,1
60003634-03,3,2,2,2,2,2,1,3,1
60003636-01,5,1,1,2,1,1,2,5,1
60003639-01,3,3,4,2,3,3,3,1,1
